Longitude,Latitude
-94.701478,39.306873
-94.7171344,39.25387272
-94.7171344,39.25387272
-94.71714105,39.25385026
-94.71714773,39.25382782
-94.71715444,39.25380537
-94.71716117,39.25378293
-94.71716794,39.2537605
-94.71717473,39.25373807
-94.71718156,39.25371565
-94.71718841,39.25369323
-94.71719529,39.25367082
-94.7172022,39.25364841
-94.71720914,39.25362601
-94.71721611,39.25360362
-94.71722311,39.25358122
-94.71723014,39.25355884
-94.7172372,39.25353646
-94.71724429,39.25351409
-94.7172514,39.25349172
-94.71725855,39.25346936
-94.71726572,39.253447
-94.71727292,39.25342465
-94.71728016,39.2534023
-94.71728742,39.25337996
-94.71729471,39.25335762
-94.71730203,39.2533353
-94.71730938,39.25331297
-94.71731675,39.25329066
-94.71732416,39.25326834
-94.7173316,39.25324604
-94.71733906,39.25322374
-94.71734656,39.25320144
-94.71735408,39.25317915
-94.71736163,39.25315687
-94.71736921,39.2531346
-94.71737682,39.25311232
-94.71738446,39.25309006
-94.71739213,39.2530678
-94.71739983,39.25304555
-94.71740755,39.2530233
-94.71741531,39.25300106
-94.71742309,39.25297883
-94.71743091,39.2529566
-94.71743875,39.25293437
-94.71744662,39.25291216
-94.71745452,39.25288995
-94.71746245,39.25286774
-94.71747041,39.25284555
-94.7174784,39.25282335
-94.71748641,39.25280117
-94.71749446,39.25277899
-94.71750253,39.25275682
-94.71751063,39.25273465
-94.71751876,39.25271249
-94.71752692,39.25269034
-94.71753511,39.25266819
-94.71754333,39.25264605
-94.71755158,39.25262391
-94.71755985,39.25260178
-94.71756816,39.25257966
-94.71757649,39.25255755
-94.71758485,39.25253544
-94.71759325,39.25251334
-94.71760167,39.25249124
-94.71761011,39.25246915
-94.71761859,39.25244707
-94.7176271,39.25242499
-94.71763563,39.25240292
-94.7176442,39.25238086
-94.71765279,39.25235881
-94.71766141,39.25233676
-94.71767006,39.25231471
-94.71767874,39.25229268
-94.71768745,39.25227065
-94.71769618,39.25224863
-94.71770495,39.25222661
-94.71771374,39.2522046
-94.71772256,39.2521826
-94.71773141,39.25216061
-94.71774029,39.25213862
-94.7177492,39.25211664
-94.71775814,39.25209467
-94.7177671,39.2520727
-94.7177761,39.25205074
-94.71778512,39.25202879
-94.71779417,39.25200684
-94.71780325,39.2519849
-94.71781236,39.25196297
-94.7178215,39.25194105
-94.71783066,39.25191913
-94.71783986,39.25189722
-94.71784908,39.25187532
-94.71785833,39.25185342
-94.71786761,39.25183153
-94.71787692,39.25180965
-94.71788625,39.25178778
-94.71789562,39.25176591
-94.71790501,39.25174405
-94.71791444,39.2517222
-94.71792389,39.25170036
-94.71793337,39.25167852
-94.71794287,39.25165669
-94.71795241,39.25163487
-94.71796197,39.25161305
-94.71797157,39.25159124
-94.71798119,39.25156944
-94.71799084,39.25154765
-94.71800052,39.25152587
-94.71801022,39.25150409
-94.71801996,39.25148232
-94.71802972,39.25146056
-94.71803951,39.2514388
-94.71804933,39.25141706
-94.71805918,39.25139532
-94.71806906,39.25137358
-94.71807896,39.25135186
