X (nmi), Y(nmi)
60, 16961
-0.530629401317394, -4.1557242935801
-0.528590578391211, -4.15401129936028
-0.526478259111258, -4.15223899175258
-0.524298667471278, -4.15041219282932
-0.522058028123988, -4.14853572521488
-0.519762564906557, -4.14661441085025
-0.517418501270871, -4.14465307135466
-0.51503206205583, -4.14265652950783
-0.512609471424095, -4.14062960752334
-0.510156953538326, -4.13857712761474
-0.507680732561183, -4.13650391199561
-0.505187032655326, -4.13441478287951
-0.502682077983414, -4.13231456248
-0.500172092708108, -4.13020807301066
-0.497663300992068, -4.12810013668504
-0.495161926997954, -4.12599557571671
-0.492674194888425, -4.12389921231924
-0.490206328826142, -4.1218158687062
-0.487764552973764, -4.11975036709114
-0.485355091493952, -4.11770752968765
-0.482984176952113, -4.11569218586183
-0.480656524960127, -4.11370803860968
-0.478370907250987, -4.11175439080945
-0.476124595285955, -4.10982943316366
-0.473914861190161, -4.10793135694443
-0.471738976253859, -4.10605835270815
-0.469594211470064, -4.10420861075216
-0.46747783911755, -4.10238032248201
-0.465387130821716, -4.10057167874141
-0.463319358207963, -4.09878087037407
-0.461271792901691, -4.09700608822371
-0.459241706528301, -4.09524552313401
-0.457226370713192, -4.0934973659487
-0.455223057081766, -4.09175980751148
-0.453229037259422, -4.09003103866605
-0.45124158287156, -4.08830925025614
-0.449257965543582, -4.08659263312543
-0.447275456900887, -4.08487937811764
-0.445291328568875, -4.08316767607649
-0.443302852172947, -4.08145571784566
-0.44130730649106, -4.07974170040456
-0.43930229512124, -4.07802393187698
-0.437286825309265, -4.07630125459909
-0.43526024326053, -4.07457263418559
-0.433221895786124, -4.07283703676736
-0.431171128941871, -4.07109342783123
-0.429107288467651, -4.06934077259741
-0.42702972132914, -4.06757803732734
-0.424937773882717, -4.06580418776405
-0.422830792484765, -4.06401818965061
-0.420708123491664, -4.06221900873005
-0.418569113259796, -4.06040561074542
-0.416413108145541, -4.05857696143979
-0.414239454505282, -4.05673202655618
-0.412047498695398, -4.05486977183765
-0.409836587072271, -4.05298916302725
-0.407606065992283, -4.05108916586803
-0.405355281811814, -4.04916874610303
-0.403083580887246, -4.0472268694753
-0.400790309574959, -4.0452625017279
-0.398474822552709, -4.04327461575642
-0.396137212731146, -4.04126297412577
-0.393780647136557, -4.0392306021279
-0.391409047481149, -4.03718132886126
-0.389026336185767, -4.03511898403717
-0.38663643478653, -4.03304739660226
-0.384243264458608, -4.03097039518791
-0.381850747805367, -4.02889180966458
-0.379462806718802, -4.0268154692865
-0.377083363090909, -4.02474520330792
-0.374716338813684, -4.02268484098307
-0.372365655779123, -4.02063821156621
-0.370035235879221, -4.01860914431157
-0.367729001005974, -4.0166014684734
-0.365450873051377, -4.01461901330594
-0.363204773907427, -4.01266560806343
-0.360994625466119, -4.01074508200012
-0.358824349619448, -4.00886126437025
-0.356697868259411, -4.00701798442807
-0.354619103278003, -4.00521907142781
-0.352591983719778, -4.00346836079402
-0.350618579869428, -4.00176793544055
-0.348693632848283, -4.00011295966937
-0.346810039222812, -3.99849685753019
-0.344960696115387, -3.99691305354919
-0.343138499949459, -3.99535497165314
-0.341336346897259, -3.99381603555589
-0.339547134206219, -3.9922896698897
-0.337763758577024, -3.99076929881901
-0.335979116710355, -3.98924834650822
-0.334186105306895, -3.98772023712175
-0.332377621067329, -3.98617839482403
-0.330546560692338, -3.98461624377947
-0.328685820882606, -3.9830272081525
-0.326788298338816, -3.98140471210752
-0.324846889761651, -3.97974217980896
-0.322854491851793, -3.97803303542124
-0.320804001309927, -3.97627070310878
-0.318688314836734, -3.97444860703599
-0.316500329132898, -3.9725601713673
-0.314232949158362, -3.97059882741967
-0.311881939479242, -3.9685606172778
-0.309454621893664, -3.96645212887952
-0.306961194072388, -3.96428257501276
-0.304411854438112, -3.96206116912019
-0.301816800480422, -3.95979712383241
-0.299186229267535, -3.9574996514102
-0.296530339432113, -3.9551779654802
-0.29385932883974, -3.95284127900018
-0.291183395355997, -3.95049880492795
-0.288512736846468, -3.94815975622129
-0.285857551176735, -3.94583334583799
-0.283228036212381, -3.94352878673583
-0.280634389818989, -3.94125529187262
-0.278086809862141, -3.93902207420614
-0.27559549420742, -3.93683834669418
-0.273170640720409, -3.93471332229452
-0.27082244726669, -3.93265621396497
-0.268561111711846, -3.9306762346633
-0.26639683192146, -3.9287825973473
-0.264339812913671, -3.92698452122337
-0.262396348736081, -3.92528771446627
-0.260557196858473, -3.92368393491765
-0.258809218047017, -3.92216144185381
-0.257139273576538, -3.92070849499385
-0.255534224076372, -3.91931335349478
-0.253980929986279, -3.91796427634985
-0.252466252678142, -3.91664952336202
-0.250977053036484, -3.91535735391042
-0.249500191945828, -3.91407602737418
-0.248022530290699, -3.91279380313244
-0.246530928955618, -3.91149894056432
-0.24501224882511, -3.91017969904896
-0.243453350783698, -3.90882433796549
-0.241841095715906, -3.90742111669305
-0.240162344506256, -3.90595829461076
-0.238403958039271, -3.90442413109775
-0.236552797199477, -3.90280688553317
-0.234595722871394, -3.90109481729614
-0.232519595939548, -3.89927618576579
-0.230311285438062, -3.89733925747381
-0.227962481396295, -3.89527659965393
-0.225484273670088, -3.89309808396338
-0.22289258910083, -3.89081789679311
-0.220203355317625, -3.88845022522736
-0.217432498977097, -3.88600925549467
-0.214595946260441, -3.88350917340367
-0.211709625031064, -3.88096416624537
-0.208789462337965, -3.87838842059355
-0.205851385230142, -3.87579612302201
-0.202911320756594, -3.87320146010451
-0.199985195966321, -3.87061861841484
-0.19708893790832, -3.86806178452679
-0.194238473631592, -3.86554514501412
-0.191449730185135, -3.86308288645062
-0.188738634617948, -3.86068919541007
-0.186121113979029, -3.85837825846625
-0.183613095317378, -3.85616426219294
-0.181230505681994, -3.85406139316393
-0.178989272121875, -3.85208383795298
-0.176905328838576, -3.85024578944093
-0.174988935369321, -3.84855645506134
-0.173227761185607, -3.8470051962359
-0.171603815417772, -3.84557640157029
-0.170099107661468, -3.84425446007928
-0.16869564691562, -3.84302376025269
-0.167375442048083, -3.84186869046744
-0.166120502725919, -3.84077363980061
-0.164912838183732, -3.83972299694968
-0.163734457656124, -3.83870115061214
-0.1625673703777, -3.83769248948548
-0.161393585583063, -3.83668140226718
-0.160195112506817, -3.83565227765473
-0.158953960383566, -3.83458950434561
-0.157652138447914, -3.83347747103731
-0.156271655934464, -3.83230056642731
-0.15479452207782, -3.8310431792131
-0.153202746112585, -3.82968969809216
-0.151478337273364, -3.82822451176199
-0.14960330479476, -3.82663200892006
-0.147559665542977, -3.82489658474443
-0.145335446022646, -3.82300779808299
-0.142942818604631, -3.82097595358606
-0.140399980219064, -3.81881653224295
-0.137725128574479, -3.81654501570403
-0.134936460423367, -3.81417688480775
-0.132052172014369, -3.81172761996474
-0.12909046129945, -3.80921270303211
-0.126069525415547, -3.80664761517482
-0.123007561499592, -3.80404783755782
-0.119922766688522, -3.80142885134608
-0.11683333811927, -3.79880613770457
-0.113757472928772, -3.79619517779825
-0.110713368253962, -3.79361145279208
