X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,X (nmi), Y(nmi),xrot,yrot,long,lat,Longref,Latref,Rearth,rot
-1.472338694,-5.118685829,5.11226112,-1.494493925,-96.9495389,32.85408058,-0.056143818,-3.667973513,3.667695953,-0.072029293,-96.97818774,32.87777232,0.467686878,-3.03772468,3.039721743,0.454526099,-96.99064181,32.88654232,,,,
-1.470389051,-5.117227431,5.110811179,-1.492537984,-96.94956766,32.85411316,-0.053803058,-3.666026715,3.665759311,-0.069680124,-96.97822614,32.87781144,0.467901722,-3.038517087,3.040515073,0.45473751,-96.99062608,32.88654584,,,,
-1.468449051,-5.115778951,5.109371115,-1.490591729,-96.94959622,32.85414557,-0.051349175,-3.663986071,3.663729314,-0.067217426,-96.9782664,32.87785246,0.468191892,-3.039253036,3.041252272,0.455024489,-96.99061146,32.88655062,,,,
-1.466512636,-5.114335434,5.107935998,-1.48864908,-96.94962468,32.85417793,-0.048795542,-3.66186259,3.661616912,-0.06465462,-96.9783083,32.87789515,0.468551265,-3.039933882,3.041934668,0.45538091,-96.99059793,32.88655655,,,,
-1.464573746,-5.112891925,5.1065009,-1.486703957,-96.94965314,32.85421033,-0.046155532,-3.659667281,3.659433058,-0.062005126,-96.97835161,32.87793927,0.468973718,-3.040560981,3.04256359,0.455800643,-96.99058545,32.88656354,,,,
-1.462626325,-5.111443469,5.105060891,-1.484750281,-96.9496817,32.85424287,-0.043442518,-3.657411155,3.657188703,-0.059282366,-96.97839612,32.87798462,0.46945313,-3.041135687,3.043140367,0.456277562,-96.99057401,32.88657149,,,,
-1.460664315,-5.109985111,5.103611044,-1.482781973,-96.94971045,32.85427565,-0.040669874,-3.655105223,3.654894801,-0.056499762,-96.97844161,32.87803097,0.469983379,-3.041659356,3.043666328,0.456805537,-96.99056358,32.88658028,,,,
-1.458681657,-5.108511896,5.10214643,-1.480792953,-96.9497395,32.85430878,-0.037850974,-3.652760494,3.652562303,-0.053670733,-96.97848787,32.87807809,0.470558341,-3.042133344,3.044142801,0.457378441,-96.99055413,32.88658982,,,,
-1.456672294,-5.107018869,5.10066212,-1.478777142,-96.94976894,32.85434235,-0.034999191,-3.650387979,3.650202161,-0.050808701,-96.97853468,32.87812576,0.471171895,-3.042559004,3.044571115,0.457990146,-96.99054564,32.88660001,,,,
-1.454630167,-5.105501076,5.099153186,-1.476728461,-96.94979886,32.85437647,-0.032127898,-3.647998687,3.647825327,-0.047927087,-96.97858181,32.87817375,0.471817918,-3.042937694,3.044952599,0.458634522,-96.99053807,32.88661074,,,,
-1.452549219,-5.103953561,5.097614698,-1.47464083,-96.94982937,32.85441124,-0.029250468,-3.645603629,3.645442753,-0.045039312,-96.97862906,32.87822185,0.472490287,-3.043270767,3.045288582,0.459305443,-96.99053141,32.88662192,,,,
-1.450423392,-5.102371369,5.096041728,-1.47250817,-96.94986057,32.85444676,-0.026380276,-3.643213814,3.643065392,-0.042158796,-96.97867621,32.87826982,0.473182881,-3.04355958,3.045580391,0.45999678,-96.99052562,32.88663343,,,,
-1.448246627,-5.100749546,5.094429347,-1.470324401,-96.94989255,32.85448314,-0.023530695,-3.640840253,3.640704195,-0.039298961,-96.97872304,32.87831746,0.473889577,-3.043805487,3.045829357,0.460702404,-96.99052069,32.88664518,,,,
-1.446012866,-5.099083135,5.092772627,-1.468083445,-96.9499254,32.85452046,-0.020715097,-3.638493956,3.638370114,-0.036473228,-96.97876933,32.87836452,0.474604253,-3.044009845,3.046036807,0.461416188,-96.99051657,32.88665707,,,,
