'Longitude','Latitude'
-94.720776,39.322237
-94.76025359,39.18862625
-94.76025359,39.18862625
-94.76025427,39.18862392
-94.76025496,39.18862159
-94.76025565,39.18861926
-94.76025634,39.18861692
-94.76025702,39.18861459
-94.76025771,39.18861226
-94.7602584,39.18860993
-94.76025908,39.18860759
-94.76025977,39.18860526
-94.76026045,39.18860293
-94.76026113,39.18860059
-94.76026182,39.18859826
-94.7602625,39.18859593
-94.76026318,39.18859359
-94.76026386,39.18859126
-94.76026454,39.18858893
-94.76026522,39.18858659
-94.7602659,39.18858426
-94.76026658,39.18858193
-94.76026726,39.18857959
-94.76026794,39.18857726
-94.76026862,39.18857493
-94.76026929,39.18857259
-94.76026997,39.18857026
-94.76027065,39.18856792
-94.76027132,39.18856559
-94.760272,39.18856326
-94.76027267,39.18856092
-94.76027335,39.18855859
-94.76027402,39.18855625
-94.76027469,39.18855392
-94.76027536,39.18855158
-94.76027604,39.18854925
-94.76027671,39.18854691
-94.76027738,39.18854458
-94.76027805,39.18854224
-94.76027872,39.18853991
-94.76027939,39.18853757
-94.76028006,39.18853524
-94.76028072,39.1885329
-94.76028139,39.18853056
-94.76028206,39.18852823
-94.76028273,39.18852589
-94.76028339,39.18852356
-94.76028406,39.18852122
-94.76028472,39.18851888
-94.76028539,39.18851655
-94.76028605,39.18851421
-94.76028672,39.18851188
-94.76028738,39.18850954
-94.76028804,39.1885072
-94.7602887,39.18850487
-94.76028936,39.18850253
-94.76029002,39.18850019
-94.76029068,39.18849786
-94.76029134,39.18849552
-94.760292,39.18849318
-94.76029266,39.18849084
-94.76029332,39.18848851
-94.76029398,39.18848617
-94.76029464,39.18848383
-94.76029529,39.18848149
-94.76029595,39.18847916
-94.7602966,39.18847682
-94.76029726,39.18847448
-94.76029791,39.18847214
-94.76029857,39.18846981
-94.76029922,39.18846747
-94.76029987,39.18846513
-94.76030053,39.18846279
-94.76030118,39.18846045
-94.76030183,39.18845811
-94.76030248,39.18845578
-94.76030313,39.18845344
-94.76030378,39.1884511
-94.76030443,39.18844876
-94.76030508,39.18844642
-94.76030573,39.18844408
-94.76030637,39.18844174
-94.76030702,39.1884394
-94.76030767,39.18843706
-94.76030831,39.18843473
-94.76030896,39.18843239
-94.7603096,39.18843005
-94.76031025,39.18842771
-94.76031089,39.18842537
-94.76031154,39.18842303
-94.76031218,39.18842069
-94.76031282,39.18841835
-94.76031346,39.18841601
-94.7603141,39.18841367
-94.76031475,39.18841133
-94.76031539,39.18840899
-94.76031603,39.18840665
-94.76031666,39.18840431
-94.7603173,39.18840197
-94.76031794,39.18839963
-94.76031858,39.18839728
-94.76031922,39.18839494
-94.76031985,39.1883926
-94.76032049,39.18839026
-94.76032112,39.18838792
-94.76032176,39.18838558
-94.76032239,39.18838324
-94.76032303,39.1883809
-94.76032366,39.18837856
-94.76032429,39.18837621
-94.76032493,39.18837387
-94.76032556,39.18837153
-94.76032619,39.18836919
-94.76032682,39.18836685
-94.76032745,39.18836451
-94.76032808,39.18836216
-94.76032871,39.18835982
-94.76032934,39.18835748
-94.76032997,39.18835514
-94.76033059,39.1883528
-94.76033122,39.18835045
-94.76033185,39.18834811
-94.76033247,39.18834577
-94.7603331,39.18834343
-94.76033372,39.18834108
-94.76033435,39.18833874
-94.76033497,39.1883364
-94.7603356,39.18833405
-94.76033622,39.18833171
-94.76033684,39.18832937
-94.76033746,39.18832702
-94.76033808,39.18832468
-94.7603387,39.18832234
-94.76033932,39.18831999
-94.76033994,39.18831765
-94.76034056,39.18831531
-94.76034118,39.18831296
-94.7603418,39.18831062
-94.76034242,39.18830828
-94.76034303,39.18830593
-94.76034365,39.18830359
-94.76034427,39.18830124
-94.76034488,39.1882989
-94.7603455,39.18829656
-94.76034611,39.18829421
-94.76034673,39.18829187
-94.76034734,39.18828952
-94.76034795,39.18828718
-94.76034856,39.18828483
-94.76034918,39.18828249
-94.76034979,39.18828014
-94.7603504,39.1882778
-94.76035101,39.18827545
-94.76035162,39.18827311
-94.76035223,39.18827076
-94.76035283,39.18826842
-94.76035344,39.18826607
-94.76035405,39.18826373
-94.76035466,39.18826138
-94.76035526,39.18825903
-94.76035587,39.18825669
-94.76035647,39.18825434
-94.76035708,39.188252
-94.76035768,39.18824965
-94.76035829,39.18824731
-94.76035889,39.18824496
-94.76035949,39.18824261
-94.7603601,39.18824027
-94.7603607,39.18823792
-94.7603613,39.18823557
-94.7603619,39.18823323
-94.7603625,39.18823088
-94.7603631,39.18822853
-94.7603637,39.18822619
-94.7603643,39.18822384
-94.76036489,39.18822149
-94.76036549,39.18821915
-94.76036609,39.1882168
-94.76036668,39.18821445
-94.76036728,39.18821211
-94.76036788,39.18820976
-94.76036847,39.18820741
-94.76036907,39.18820506
-94.76036966,39.18820272
-94.76037025,39.18820037
-94.76037084,39.18819802
-94.76037144,39.18819567
-94.76037203,39.18819332
-94.76037262,39.18819098
-94.76037321,39.18818863
-94.7603738,39.18818628
-94.76037439,39.18818393
-94.76037498,39.18818158
-94.76037557,39.18817924
-94.76037615,39.18817689
-94.76037674,39.18817454
-94.76037733,39.18817219
-94.76037792,39.18816984
-94.7603785,39.18816749
-94.76037909,39.18816514
-94.76037967,39.18816279
-94.76038026,39.18816045
-94.76038084,39.1881581
