Longitude,Latitude
-94.708997,39.281455
-94.70149966,39.30684431
-94.70149966,39.30684431
-94.70149645,39.30685519
-94.70149325,39.30686608
-94.70149006,39.30687697
-94.70148687,39.30688785
-94.7014837,39.30689874
-94.70148053,39.30690964
-94.70147737,39.30692053
-94.70147421,39.30693142
-94.70147107,39.30694232
-94.70146793,39.30695322
-94.70146481,39.30696412
-94.70146169,39.30697502
-94.70145857,39.30698592
-94.70145547,39.30699682
-94.70145238,39.30700773
-94.70144929,39.30701863
-94.70144621,39.30702954
-94.70144314,39.30704045
-94.70144008,39.30705136
-94.70143702,39.30706227
-94.70143398,39.30707318
-94.70143094,39.30708409
-94.70142791,39.30709501
-94.70142489,39.30710593
-94.70142187,39.30711685
-94.70141887,39.30712776
-94.70141587,39.30713869
-94.70141288,39.30714961
-94.7014099,39.30716053
-94.70140693,39.30717146
-94.70140397,39.30718238
-94.70140101,39.30719331
-94.70139806,39.30720424
-94.70139513,39.30721517
-94.70139219,39.3072261
-94.70138927,39.30723703
-94.70138636,39.30724797
-94.70138345,39.3072589
-94.70138055,39.30726984
-94.70137766,39.30728078
-94.70137478,39.30729172
-94.70137191,39.30730266
-94.70136904,39.3073136
-94.70136618,39.30732454
-94.70136334,39.30733549
-94.70136049,39.30734643
-94.70135766,39.30735738
-94.70135484,39.30736833
-94.70135202,39.30737928
-94.70134921,39.30739023
-94.70134641,39.30740118
-94.70134362,39.30741214
-94.70134084,39.30742309
-94.70133807,39.30743405
-94.7013353,39.307445
-94.70133254,39.30745596
-94.70132979,39.30746692
-94.70132705,39.30747788
-94.70132432,39.30748885
-94.70132159,39.30749981
-94.70131887,39.30751077
-94.70131616,39.30752174
-94.70131346,39.30753271
-94.70131077,39.30754367
-94.70130809,39.30755464
-94.70130541,39.30756561
-94.70130274,39.30757659
-94.70130008,39.30758756
-94.70129743,39.30759853
-94.70129479,39.30760951
-94.70129215,39.30762049
-94.70128953,39.30763146
-94.70128691,39.30764244
-94.7012843,39.30765342
-94.7012817,39.3076644
-94.7012791,39.30767539
-94.70127652,39.30768637
-94.70127394,39.30769736
-94.70127137,39.30770834
-94.70126881,39.30771933
-94.70126626,39.30773032
-94.70126372,39.30774131
-94.70126118,39.3077523
-94.70125865,39.30776329
-94.70125614,39.30777428
-94.70125362,39.30778528
-94.70125112,39.30779627
-94.70124863,39.30780727
-94.70124614,39.30781827
-94.70124366,39.30782926
-94.70124119,39.30784026
-94.70123873,39.30785126
-94.70123628,39.30786227
-94.70123384,39.30787327
-94.7012314,39.30788427
-94.70122897,39.30789528
-94.70122655,39.30790628
-94.70122414,39.30791729
-94.70122174,39.3079283
-94.70121934,39.30793931
-94.70121695,39.30795032
-94.70121458,39.30796133
-94.70121221,39.30797234
-94.70120984,39.30798336
-94.70120749,39.30799437
-94.70120514,39.30800539
-94.70120281,39.30801641
-94.70120048,39.30802742
-94.70119816,39.30803844
-94.70119585,39.30804946
-94.70119354,39.30806048
-94.70119125,39.30807151
-94.70118896,39.30808253
-94.70118668,39.30809355
-94.70118441,39.30810458
-94.70118215,39.30811561
-94.70117989,39.30812663
-94.70117765,39.30813766
-94.70117541,39.30814869
-94.70117318,39.30815972
-94.70117096,39.30817075
-94.70116874,39.30818179
-94.70116654,39.30819282
-94.70116434,39.30820385
-94.70116216,39.30821489
-94.70115998,39.30822592
-94.70115781,39.30823696
