Track Name,A2,A3,A4,A5,A6,A7,A8,DJ1,DJ2,DJ3,DJ4,DJ5,DJ6,DJ7,DJ8,DJ9,DJ10,DJ11,DJ12,DJ13,DJ14,DJ16,DJ17,DJ18,DJ19,DJ20,DJ21,DJ22,DJ23,DJ24,DJ25,DJ26,DJ27,DJ28,DJ29,DJ30,DJ31,DJ98,DP1,DP5,DP12,DP14,DP15
Runway,35C,35R,31R,17L,17C,18R,13R,35C,35R,35L,35C,35L,36R,35L,36R,36L,36R,36L,31L,31L,18L,18R,18L,17R,18R,18L,17R,17C,17R,17L,17R,17C,17C,17R,13L,18L,18L,17C,35R,36L,18R,17L,13L
Operation Type,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure
