APT_CODE,Rot_Angle,Lat_Ref,Long_Ref,Runway_End1,Runway_End2,Runway_End3,Runway_End4,Runway_End5,Runway_End6,Runway_End7,Runway_End8,Runway_End9,Runway_End10,Runway_End11,Runway_End12,Runway_End13,Runway_End14,Runway_End15,Runway_End16,Lat1,Lat2,Lat3,Lat4,Lat5,Lat6,Lat7,Lat8,Lat9,Lat10,Lat11,Lat12,Lat13,Lat14,Lat15,Lat16,Long1,Long2,Long3,Long4,Long5,Long6,Long7,Long8,Long9,Long10,Long11,Long12,Long13,Long14,Long15,Long16
KMCI,1.346084905,0.685798105,-1.653338445,01L,19R,01R,19L,9,27,,,,,,,,,,,39.293337,39.322237,39.281455,39.306873,39.290862,39.288078,,,,,,,,,,,-94.729315,-94.720776,-94.708997,-94.701478,-94.726592,-94.693221,,,,,,,,,,
KDFW,1.566465311,0.573846316,-1.693858201,13L,31R,13R,31L,17C,35C,17L,35R,17R,35L,18L,36R,18R,36L,,,32.912554,32.894981,32.909576,32.890269,32.915708,32.878878,32.898321,32.874959,32.915722,32.878894,32.915799,32.878972,32.915815,32.878986,,,-97.021478,-97.000844,-97.083133,-97.063276,-97.025971,-97.026172,-97.009779,-97.009909,-97.029883,-97.030081,-97.050736,-97.050926,-97.054642,-97.054834,,
