Track Name,A1,A1A,A1B,A2,A2A,A2B,A3,A3A,A3B,A4,A4A,A4B,A5,A5A,A5B,A6,A6A,A6B,J1,J2,J3,J4,J4A,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17
Runway,19R,19R,19R,01L,01L,01L,9,9,9,27,27,27,19L,19L,19L,01R,01R,01R,19R,19R,19R,19L,19L,19L,01L,01L,01L,01L,9,9,9,9,27,01R,01R,01R
Operation Type,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Approach,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure,Departure
