X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
0.16,-6,58.982,58.997,59,59.006,59.067,59.196,59.337,47.516
0.24,-6,59.04,59.051,59.047,59.041,59.082,59.192,59.324,47.779
0.32,-6,59.099,59.105,59.095,59.076,59.097,59.192,59.313,47.728
0.4,-6,59.154,59.156,59.141,59.109,59.113,59.187,59.297,47.667
0.48,-6,59.203,59.203,59.183,59.139,59.123,59.179,59.276,47.601
0.56,-6,59.248,59.245,59.22,59.163,59.129,59.165,59.25,47.529
0.64,-6,59.285,59.281,59.252,59.182,59.129,59.147,59.217,47.454
0.72,-6,59.327,59.313,59.277,59.196,59.125,59.122,59.178,47.375
0.8,-6,59.364,59.348,59.304,59.204,59.115,59.093,59.133,47.293
0.88,-6,59.394,59.378,59.33,59.207,59.101,59.058,59.081,47.209
0.96,-6,59.42,59.403,59.352,59.215,59.081,59.017,59.025,47.125
1.04,-6,59.443,59.423,59.369,59.22,59.056,58.973,58.963,47.04
1.12,-6,59.461,59.442,59.382,59.22,59.037,58.925,58.896,46.954
1.2,-6,59.482,59.456,59.395,59.218,59.016,58.872,58.826,46.868
1.28,-6,59.499,59.474,59.404,59.214,58.992,58.82,58.752,46.782
1.36,-6,59.511,59.488,59.417,59.21,58.966,58.772,58.675,46.696
1.44,-6,59.513,59.499,59.428,59.205,58.94,58.723,58.595,46.61
1.52,-6,59.51,59.499,59.436,59.202,58.913,58.672,58.522,46.523
1.6,-6,59.503,59.493,59.435,59.202,58.886,58.621,58.448,46.437
1.68,-6,59.491,59.482,59.423,59.201,58.862,58.57,58.373,46.35
1.76,-6,59.474,59.468,59.408,59.198,58.836,58.52,58.299,46.263
1.84,-6,59.446,59.444,59.386,59.181,58.803,58.465,58.221,46.176
1.92,-6,59.401,59.408,59.355,59.153,58.763,58.408,58.143,46.089
2,-6,59.351,59.368,59.321,59.122,58.723,58.352,58.065,46.001
2.08,-6,59.295,59.323,59.284,59.089,58.681,58.295,57.987,45.914
2.16,-6,59.234,59.274,59.242,59.054,58.638,58.239,57.91,45.826
2.24,-6,59.168,59.22,59.196,59.017,58.594,58.182,57.833,45.737
2.32,-6,59.109,59.169,59.158,58.99,58.558,58.148,57.787,45.649
2.4,-6,59.06,59.122,59.122,58.967,58.524,58.12,57.749,45.559
2.48,-6,59.006,59.069,59.083,58.941,58.489,58.092,57.714,45.47
2.56,-6,58.948,59.011,59.039,58.912,58.456,58.065,57.68,45.379
2.64,-6,58.884,58.947,58.989,58.879,58.431,58.036,57.648,45.289
2.72,-6,58.814,58.877,58.933,58.842,58.403,58.006,57.617,45.197
2.8,-6,58.738,58.801,58.871,58.799,58.374,57.974,57.585,45.105
2.88,-6,58.655,58.718,58.803,58.752,58.341,57.933,57.552,45.012
2.96,-6,58.458,58.629,58.729,58.699,58.306,57.875,57.518,44.919
3.04,-6,58.214,58.534,58.648,58.642,58.266,57.817,57.481,44.825
3.12,-6,58.033,58.403,58.561,58.58,58.223,57.756,57.441,44.73
3.2,-6,57.885,58.129,58.467,58.513,58.175,57.69,57.398,44.635
3.28,-6,57.731,57.905,58.366,58.44,58.123,57.621,57.316,44.539
3.36,-6,57.571,57.754,58.143,58.361,58.065,57.548,57.226,44.442
3.44,-6,57.404,57.597,57.889,58.277,58.003,57.471,57.132,44.344
3.52,-6,57.232,57.434,57.7,58.187,57.935,57.39,57.035,44.246
3.6,-6,57.056,57.265,57.54,58.077,57.839,57.289,56.927,44.147
3.68,-6,56.875,57.091,57.373,57.95,57.729,57.18,56.815,44.047
3.76,-6,56.69,56.911,57.2,57.817,57.615,57.067,56.7,43.947
3.84,-6,56.5,56.727,57.021,57.683,57.5,56.954,56.584,43.846
3.92,-6,56.308,56.539,56.838,57.542,57.379,56.836,56.463,43.744
4,-6,56.113,56.347,56.65,57.393,57.253,56.713,56.339,43.642
4.08,-6,55.915,56.152,56.458,57.239,57.125,56.588,56.213,43.539
4.16,-6,55.716,55.955,56.262,57.08,56.994,56.461,56.085,43.436
4.24,-6,55.515,55.756,56.063,56.918,56.86,56.333,55.956,43.332
4.32,-6,55.313,55.555,55.862,56.751,56.726,56.204,55.828,43.227
4.4,-6,55.11,55.353,55.658,56.587,56.594,56.078,55.701,43.122
4.48,-6,54.908,55.15,55.453,56.415,56.458,55.947,55.57,43.017
4.56,-6,54.705,54.947,55.247,56.239,56.32,55.815,55.438,42.91
4.64,-6,54.504,54.744,55.041,56.06,56.182,55.683,55.307,42.804
4.72,-6,54.303,54.542,54.834,55.878,56.043,55.551,55.176,42.697
4.8,-6,54.103,54.34,54.628,55.694,55.904,55.42,55.046,42.59
4.88,-6,53.904,54.139,54.422,55.507,55.767,55.29,54.918,42.482
4.96,-6,53.706,53.94,54.217,55.2,55.634,55.165,54.793,42.374
5.04,-6,53.511,53.742,54.013,55.002,55.498,55.036,54.665,42.266
5.12,-6,53.318,53.546,53.81,54.808,55.361,54.908,54.538,42.157
5.2,-6,53.126,53.352,53.609,54.613,55.225,54.78,54.412,42.048
5.28,-6,52.936,53.16,53.41,54.418,55.089,54.653,54.286,41.939
5.36,-6,52.749,52.97,53.213,54.223,54.954,54.527,54.162,41.829
5.44,-6,52.564,52.782,53.018,54.009,54.82,54.403,54.04,41.72
5.52,-6,52.38,52.596,52.824,53.741,54.692,54.284,53.922,41.61
5.6,-6,52.199,52.412,52.632,53.544,54.562,54.163,53.803,41.5
5.68,-6,52.02,52.23,52.443,53.347,54.429,54.041,53.682,41.39
5.76,-6,51.844,52.051,52.256,53.151,54.297,53.919,53.563,41.279
5.84,-6,51.669,51.874,52.071,52.957,54.166,53.799,53.444,41.169
5.92,-6,51.497,51.699,51.889,52.763,54.035,53.679,53.326,41.058
6,-6,51.327,51.526,51.709,52.571,53.904,53.56,53.209,40.948
-6,-5.92,51.64,51.802,51.956,52.276,52.687,53.108,53.411,49.256
-5.92,-5.92,51.747,51.909,52.063,52.384,52.794,53.216,53.519,49.234
-5.84,-5.92,51.853,52.015,52.17,52.491,52.902,53.324,53.626,49.212
-5.76,-5.92,51.959,52.122,52.277,52.599,53.011,53.432,53.734,49.19
-5.68,-5.92,52.066,52.23,52.385,52.707,53.119,53.54,53.841,49.169
-5.6,-5.92,52.173,52.337,52.493,52.815,53.227,53.648,53.949,49.148
-5.52,-5.92,52.28,52.444,52.6,52.923,53.335,53.756,54.057,49.128
-5.44,-5.92,52.387,52.552,52.709,53.032,53.444,53.864,54.165,49.108
-5.36,-5.92,52.495,52.66,52.817,53.14,53.552,53.972,54.272,49.089
-5.28,-5.92,52.603,52.768,52.925,53.248,53.66,54.081,54.38,49.071
-5.2,-5.92,52.71,52.876,53.033,53.357,53.769,54.189,54.488,49.053
-5.12,-5.92,52.818,52.984,53.141,53.465,53.877,54.297,54.595,49.037
-5.04,-5.92,52.926,53.092,53.25,53.574,53.985,54.404,54.703,49.021
-4.96,-5.92,53.033,53.2,53.358,53.682,54.093,54.512,54.81,49.006
-4.88,-5.92,53.141,53.307,53.466,53.79,54.201,54.62,54.917,48.992
-4.8,-5.92,53.249,53.415,53.574,53.898,54.309,54.727,55.024,48.98
-4.72,-5.92,53.356,53.523,53.682,54.006,54.416,54.834,55.131,48.968
-4.64,-5.92,53.464,53.631,53.79,54.113,54.524,54.941,55.237,48.957
-4.56,-5.92,53.571,53.738,53.897,54.221,54.631,55.048,55.344,48.948
