X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
0.88,-6,49.139,49.119,49.071,49.008,48.96,48.942,39.289
0.96,-6,49.193,49.17,49.114,49.042,48.981,48.952,39.222
1.04,-6,49.244,49.218,49.157,49.072,49,48.958,39.154
1.12,-6,49.292,49.264,49.198,49.1,49.017,48.962,39.086
1.2,-6,49.338,49.307,49.236,49.129,49.032,48.963,39.017
1.28,-6,49.382,49.348,49.273,49.157,49.043,48.964,38.948
1.36,-6,49.428,49.39,49.307,49.183,49.057,48.962,38.878
1.44,-6,49.472,49.431,49.341,49.208,49.071,48.958,38.807
1.52,-6,49.513,49.469,49.373,49.232,49.083,48.955,38.736
1.6,-6,49.55,49.503,49.402,49.253,49.094,48.952,38.665
1.68,-6,49.571,49.525,49.423,49.27,49.103,48.949,38.593
1.76,-6,49.59,49.545,49.442,49.287,49.111,48.945,38.52
1.84,-6,49.606,49.563,49.46,49.302,49.119,48.942,38.447
1.92,-6,49.621,49.579,49.477,49.317,49.127,48.94,38.373
2,-6,49.635,49.6,49.506,49.353,49.161,48.965,38.298
2.08,-6,49.661,49.621,49.535,49.389,49.196,48.991,38.222
2.16,-6,49.686,49.64,49.563,49.425,49.232,49.02,38.146
2.24,-6,49.71,49.666,49.589,49.461,49.269,49.05,38.068
2.32,-6,49.731,49.691,49.614,49.496,49.306,49.082,37.99
2.4,-6,49.751,49.714,49.634,49.53,49.344,49.116,37.91
2.48,-6,49.769,49.736,49.657,49.564,49.382,49.151,37.83
2.56,-6,49.785,49.756,49.678,49.595,49.419,49.187,37.749
2.64,-6,49.788,49.773,49.699,49.625,49.456,49.224,37.666
2.72,-6,49.79,49.789,49.717,49.649,49.493,49.262,37.582
2.8,-6,49.789,49.803,49.734,49.668,49.528,49.299,37.498
2.88,-6,49.787,49.806,49.748,49.689,49.562,49.337,37.412
2.96,-6,49.78,49.804,49.761,49.708,49.594,49.374,37.325
3.04,-6,49.735,49.8,49.772,49.726,49.624,49.41,37.237
3.12,-6,49.695,49.794,49.78,49.743,49.647,49.446,37.148
3.2,-6,49.683,49.787,49.775,49.758,49.66,49.48,37.058
3.28,-6,49.671,49.765,49.768,49.771,49.677,49.512,36.966
3.36,-6,49.658,49.717,49.76,49.782,49.693,49.543,36.874
3.44,-6,49.645,49.681,49.75,49.792,49.708,49.572,36.781
3.52,-6,49.653,49.666,49.739,49.799,49.722,49.599,36.686
3.6,-6,49.667,49.65,49.725,49.804,49.735,49.609,36.591
3.68,-6,49.681,49.633,49.673,49.807,49.746,49.623,36.495
3.76,-6,49.696,49.615,49.624,49.802,49.756,49.637,36.397
3.84,-6,49.712,49.604,49.604,49.788,49.764,49.65,36.299
3.92,-6,49.728,49.61,49.584,49.773,49.771,49.663,36.2
4,-6,49.745,49.617,49.564,49.756,49.776,49.675,36.1
4.08,-6,49.761,49.626,49.543,49.738,49.779,49.687,35.999
4.16,-6,49.777,49.635,49.522,49.718,49.78,49.697,35.898
4.24,-6,49.793,49.645,49.501,49.697,49.779,49.707,35.796
4.32,-6,49.808,49.656,49.494,49.67,49.775,49.716,35.693
4.4,-6,49.822,49.668,49.495,49.611,49.766,49.724,35.589
4.48,-6,49.834,49.679,49.498,49.557,49.747,49.73,35.485
4.56,-6,49.845,49.691,49.503,49.53,49.726,49.735,35.38
4.64,-6,49.854,49.702,49.508,49.504,49.704,49.739,35.274
4.72,-6,49.862,49.712,49.515,49.477,49.68,49.74,35.168
4.8,-6,49.867,49.722,49.523,49.45,49.656,49.74,35.061
4.88,-6,49.846,49.731,49.531,49.423,49.63,49.739,34.954
4.96,-6,49.822,49.739,49.54,49.396,49.603,49.735,34.847
5.04,-6,49.797,49.745,49.549,49.369,49.576,49.729,34.739
5.12,-6,49.772,49.749,49.558,49.342,49.524,49.721,34.63
5.2,-6,49.746,49.749,49.567,49.318,49.462,49.712,34.521
5.28,-6,49.718,49.727,49.576,49.308,49.419,49.688,34.412
5.36,-6,49.69,49.703,49.583,49.301,49.389,49.662,34.303
5.44,-6,49.662,49.679,49.59,49.296,49.359,49.635,34.193
5.52,-6,49.633,49.655,49.596,49.292,49.329,49.607,34.083
5.6,-6,49.604,49.629,49.6,49.289,49.3,49.578,33.973
5.68,-6,49.574,49.603,49.602,49.289,49.27,49.548,33.862
