X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
2.8,4.32,61.854,61.661,61.498,61.347,61.305,43.477
2.88,4.32,61.882,61.682,61.512,61.351,61.301,43.361
2.96,4.32,61.91,61.704,61.526,61.356,61.296,43.244
3.04,4.32,61.94,61.726,61.542,61.36,61.29,43.125
3.12,4.32,61.97,61.75,61.558,61.365,61.285,43.005
3.2,4.32,62.016,61.775,61.575,61.37,61.279,42.885
3.28,4.32,62.077,61.802,61.593,61.376,61.274,42.763
3.36,4.32,62.141,61.83,61.613,61.382,61.269,42.64
3.44,4.32,62.207,61.859,61.634,61.39,61.264,42.516
3.52,4.32,62.275,61.895,61.656,61.398,61.26,42.391
3.6,4.32,62.344,61.955,61.68,61.408,61.257,42.266
3.68,4.32,62.415,62.017,61.705,61.419,61.254,42.139
3.76,4.32,62.487,62.082,61.732,61.43,61.252,42.013
3.84,4.32,62.559,62.149,61.761,61.444,61.25,41.885
3.92,4.32,62.631,62.218,61.802,61.458,61.25,41.758
4,4.32,62.704,62.289,61.861,61.474,61.251,41.63
4.08,4.32,62.775,62.361,61.923,61.492,61.253,41.501
4.16,4.32,62.846,62.434,61.988,61.511,61.256,41.372
4.24,4.32,62.916,62.507,62.055,61.532,61.261,41.243
4.32,4.32,62.985,62.58,62.125,61.555,61.267,41.114
4.4,4.32,63.037,62.654,62.196,61.579,61.274,40.985
4.48,4.32,63.081,62.726,62.268,61.604,61.283,40.856
4.56,4.32,63.126,62.798,62.341,61.632,61.293,40.726
4.64,4.32,63.17,62.868,62.415,61.677,61.304,40.597
4.72,4.32,63.214,62.937,62.49,61.734,61.318,40.467
4.8,4.32,63.258,62.995,62.564,61.794,61.332,40.338
4.88,4.32,63.302,63.04,62.637,61.858,61.349,40.209
4.96,4.32,63.345,63.084,62.71,61.923,61.367,40.08
5.04,4.32,63.388,63.128,62.782,61.991,61.387,39.952
5.12,4.32,63.431,63.172,62.852,62.061,61.409,39.823
5.2,4.32,63.474,63.215,62.921,62.132,61.432,39.695
5.28,4.32,63.517,63.259,62.975,62.204,61.456,39.567
5.36,4.32,63.561,63.301,63.019,62.277,61.483,39.439
5.44,4.32,63.604,63.344,63.062,62.35,61.509,39.312
5.52,4.32,63.648,63.386,63.105,62.423,61.563,39.185
5.6,4.32,63.692,63.428,63.148,62.496,61.621,39.059
5.68,4.32,63.736,63.471,63.19,62.568,61.682,38.933
5.76,4.32,63.781,63.513,63.232,62.639,61.746,38.807
5.84,4.32,63.825,63.556,63.273,62.709,61.812,38.682
5.92,4.32,63.872,63.599,63.314,62.777,61.881,38.557
6,4.32,63.934,63.642,63.355,62.844,61.952,38.433
-6,4.4,49.688,49.918,50.14,50.485,50.826,46.612
-5.92,4.4,49.819,50.048,50.27,50.613,50.953,46.575
-5.84,4.4,49.951,50.18,50.4,50.742,51.081,46.537
-5.76,4.4,50.083,50.311,50.531,50.872,51.209,46.498
-5.68,4.4,50.217,50.444,50.663,51.002,51.338,46.457
-5.6,4.4,50.351,50.577,50.795,51.133,51.468,46.415
-5.52,4.4,50.485,50.71,50.928,51.265,51.598,46.372
-5.44,4.4,50.62,50.845,51.061,51.397,51.729,46.328
-5.36,4.4,50.756,50.98,51.195,51.529,51.86,46.284
-5.28,4.4,50.893,51.115,51.33,51.663,51.992,46.239
-5.2,4.4,51.03,51.251,51.465,51.796,52.125,46.193
-5.12,4.4,51.168,51.388,51.601,51.931,52.257,46.146
-5.04,4.4,51.306,51.525,51.737,52.065,52.391,46.099
-4.96,4.4,51.445,51.663,51.874,52.201,52.525,46.051
-4.88,4.4,51.584,51.801,52.011,52.336,52.659,46.004
-4.8,4.4,51.724,51.94,52.149,52.472,52.793,45.956
-4.72,4.4,51.865,52.08,52.287,52.609,52.928,45.907
-4.64,4.4,52.006,52.22,52.426,52.746,53.064,45.859
-4.56,4.4,52.147,52.36,52.565,52.883,53.199,45.811
-4.48,4.4,52.289,52.501,52.704,53.021,53.335,45.763
-4.4,4.4,52.432,52.642,52.844,53.159,53.472,45.715
-4.32,4.4,52.575,52.783,52.984,53.297,53.608,45.667
-4.24,4.4,52.718,52.925,53.125,53.436,53.745,45.62
-4.16,4.4,52.861,53.067,53.266,53.575,53.882,45.573
-4.08,4.4,53.005,53.21,53.407,53.714,54.019,45.526
-4,4.4,53.15,53.353,53.548,53.853,54.156,45.479
-3.92,4.4,53.294,53.496,53.69,53.992,54.293,45.431
-3.84,4.4,53.439,53.639,53.831,54.131,54.43,45.384
-3.76,4.4,53.584,53.782,53.973,54.271,54.568,45.336
-3.68,4.4,53.729,53.925,54.115,54.41,54.705,45.29
-3.6,4.4,53.874,54.069,54.256,54.549,54.841,45.243
-3.52,4.4,54.019,54.212,54.398,54.688,54.978,45.197
-3.44,4.4,54.165,54.356,54.54,54.827,55.115,45.152
-3.36,4.4,54.31,54.499,54.681,54.966,55.251,45.108
-3.28,4.4,54.455,54.643,54.823,55.105,55.387,45.065
-3.2,4.4,54.601,54.786,54.964,55.243,55.522,45.023
-3.12,4.4,54.746,54.929,55.105,55.38,55.657,44.983
-3.04,4.4,54.891,55.072,55.245,55.518,55.792,44.944
-2.96,4.4,55.036,55.214,55.386,55.655,55.925,44.907
-2.88,4.4,55.18,55.356,55.525,55.791,56.058,44.873
-2.8,4.4,55.324,55.498,55.665,55.927,56.191,44.85
-2.72,4.4,55.468,55.639,55.803,56.062,56.322,44.831
-2.64,4.4,55.611,55.78,55.941,56.196,56.453,44.808
-2.56,4.4,55.754,55.92,56.079,56.329,56.583,44.783
-2.48,4.4,55.897,56.06,56.216,56.462,56.712,44.761
-2.4,4.4,56.039,56.199,56.352,56.593,56.839,44.741
-2.32,4.4,56.18,56.337,56.487,56.724,56.966,44.725
-2.24,4.4,56.321,56.475,56.621,56.854,57.091,44.712
-2.16,4.4,56.461,56.611,56.755,56.982,57.215,44.704
-2.08,4.4,56.6,56.747,56.887,57.11,57.338,44.699
-2,4.4,56.738,56.882,57.019,57.236,57.459,44.699
-1.92,4.4,56.876,57.016,57.149,57.361,57.579,44.704
-1.84,4.4,57.013,57.149,57.279,57.484,57.698,44.714
-1.76,4.4,57.148,57.282,57.407,57.607,57.814,44.729
-1.68,4.4,57.283,57.413,57.534,57.728,57.929,44.75
-1.6,4.4,57.417,57.542,57.66,57.847,58.043,44.776
-1.52,4.4,57.55,57.671,57.784,57.965,58.154,44.809
-1.44,4.4,57.682,57.799,57.908,58.081,58.264,44.847
-1.36,4.4,57.813,57.925,58.03,58.196,58.372,44.884
-1.28,4.4,57.942,58.051,58.15,58.31,58.479,44.927
-1.2,4.4,58.071,58.175,58.27,58.421,58.583,44.981
-1.12,4.4,58.198,58.297,58.387,58.531,58.685,45.041
-1.04,4.4,58.324,58.419,58.504,58.64,58.786,45.105
-0.96,4.4,58.449,58.539,58.619,58.747,58.885,45.172
-0.88,4.4,58.572,58.657,58.733,58.852,58.982,45.243
-0.8,4.4,58.694,58.775,58.845,58.956,59.076,45.316
-0.72,4.4,58.815,58.89,58.955,59.058,59.169,45.39
-0.64,4.4,58.934,59.005,59.065,59.158,59.26,45.465
-0.56,4.4,59.052,59.118,59.172,59.257,59.35,45.539
-0.48,4.4,59.168,59.229,59.278,59.354,59.437,45.611
-0.4,4.4,59.283,59.339,59.383,59.449,59.523,45.681
-0.32,4.4,59.396,59.447,59.486,59.543,59.606,45.746
-0.24,4.4,59.507,59.553,59.587,59.635,59.688,45.806
-0.16,4.4,59.616,59.658,59.686,59.725,59.768,45.858
-0.08,4.4,59.723,59.76,59.784,59.814,59.847,45.903
0,4.4,59.828,59.861,59.88,59.901,59.923,45.937
0.08,4.4,59.897,59.924,59.937,59.946,59.959,45.968
0.16,4.4,59.985,60.008,60.015,60.014,60.017,45.994
0.24,4.4,60.074,60.092,60.094,60.084,60.076,46.377
0.32,4.4,60.162,60.175,60.172,60.153,60.136,46.224
0.4,4.4,60.246,60.255,60.248,60.22,60.192,46.08
0.48,4.4,60.328,60.333,60.32,60.285,60.247,45.948
0.56,4.4,60.405,60.406,60.391,60.347,60.299,45.827
0.64,4.4,60.48,60.477,60.457,60.406,60.348,45.715
0.72,4.4,60.551,60.543,60.52,60.462,60.394,45.472
0.8,4.4,60.624,60.607,60.579,60.513,60.437,45.414
0.88,4.4,60.694,60.672,60.634,60.563,60.476,45.363
0.96,4.4,60.762,60.734,60.691,60.608,60.512,45.309
1.04,4.4,60.827,60.793,60.745,60.65,60.547,45.252
1.12,4.4,60.893,60.85,60.796,60.692,60.577,45.192
1.2,4.4,60.955,60.907,60.845,60.733,60.604,45.128
1.28,4.4,61.021,60.961,60.893,60.772,60.631,45.062
1.36,4.4,61.086,61.018,60.94,60.808,60.657,44.992
1.44,4.4,61.146,61.058,60.994,60.856,60.703,44.92
1.52,4.4,61.188,61.065,61.051,60.915,60.761,44.845
1.6,4.4,61.207,61.089,61.088,60.97,60.816,44.766
1.68,4.4,61.243,61.121,61.066,61.016,60.866,44.685
1.76,4.4,61.277,61.151,61.056,61.059,60.916,44.602
1.84,4.4,61.309,61.179,61.08,61.101,60.964,44.515
1.92,4.4,61.339,61.205,61.102,61.1,61.01,44.427
2,4.4,61.368,61.229,61.122,61.069,61.055,44.335
2.08,4.4,61.396,61.253,61.141,61.058,61.099,44.241
2.16,4.4,61.422,61.275,61.158,61.07,61.14,44.145
2.24,4.4,61.448,61.296,61.174,61.08,61.175,44.047
2.32,4.4,61.474,61.317,61.19,61.088,61.135,43.946
2.4,4.4,61.499,61.337,61.205,61.096,61.096,43.844
2.48,4.4,61.525,61.356,61.219,61.102,61.089,43.739
2.56,4.4,61.55,61.376,61.233,61.108,61.088,43.633
2.64,4.4,61.575,61.396,61.246,61.113,61.086,43.524
2.72,4.4,61.602,61.416,61.26,61.118,61.084,43.415
2.8,4.4,61.628,61.437,61.274,61.123,61.08,43.303
2.88,4.4,61.656,61.458,61.288,61.127,61.076,43.19
2.96,4.4,61.685,61.48,61.303,61.132,61.071,43.075
3.04,4.4,61.714,61.503,61.319,61.137,61.066,42.96
3.12,4.4,61.745,61.526,61.335,61.142,61.061,42.843
3.2,4.4,61.791,61.552,61.352,61.147,61.056,42.724
3.28,4.4,61.851,61.578,61.371,61.153,61.051,42.605
3.36,4.4,61.914,61.606,61.39,61.16,61.046,42.485
3.44,4.4,61.979,61.635,61.411,61.167,61.042,42.364
3.52,4.4,62.045,61.672,61.433,61.176,61.038,42.242
3.6,4.4,62.113,61.73,61.457,61.186,61.034,42.119
3.68,4.4,62.182,61.791,61.482,61.196,61.032,41.995
3.76,4.4,62.253,61.855,61.509,61.208,61.029,41.871
3.84,4.4,62.323,61.921,61.537,61.221,61.028,41.746
3.92,4.4,62.394,61.988,61.579,61.235,61.028,41.621
4,4.4,62.465,62.057,61.637,61.251,61.029,41.496
4.08,4.4,62.535,62.128,61.698,61.269,61.031,41.37
4.16,4.4,62.605,62.199,61.761,61.288,61.034,41.243
4.24,4.4,62.674,62.271,61.827,61.308,61.039,41.117
4.32,4.4,62.741,62.342,61.894,61.33,61.045,40.99
4.4,4.4,62.791,62.414,61.964,61.354,61.052,40.863
4.48,4.4,62.835,62.485,62.035,61.38,61.06,40.736
4.56,4.4,62.879,62.555,62.106,61.406,61.07,40.609
4.64,4.4,62.923,62.625,62.179,61.452,61.081,40.482
4.72,4.4,62.967,62.692,62.251,61.508,61.094,40.355
4.8,4.4,63.011,62.748,62.323,61.567,61.109,40.228
4.88,4.4,63.054,62.792,62.395,61.629,61.125,40.101
4.96,4.4,63.097,62.836,62.467,61.693,61.143,39.974
5.04,4.4,63.14,62.88,62.537,61.759,61.162,39.847
5.12,4.4,63.183,62.923,62.606,61.827,61.183,39.721
5.2,4.4,63.225,62.966,62.673,61.896,61.206,39.595
5.28,4.4,63.269,63.009,62.726,61.967,61.23,39.469
5.36,4.4,63.312,63.052,62.769,62.038,61.256,39.343
5.44,4.4,63.355,63.094,62.812,62.109,61.283,39.217
5.52,4.4,63.399,63.136,62.855,62.181,61.336,39.092
5.6,4.4,63.443,63.179,62.897,62.252,61.393,38.968
5.68,4.4,63.487,63.221,62.939,62.323,61.453,38.843
5.76,4.4,63.532,63.264,62.981,62.392,61.515,38.719
5.84,4.4,63.576,63.306,63.022,62.461,61.58,38.596
5.92,4.4,63.624,63.349,63.063,62.528,61.647,38.473
6,4.4,63.686,63.392,63.104,62.593,61.717,38.35
-6,4.48,49.623,49.851,50.072,50.415,50.754,46.365
-5.92,4.48,49.752,49.98,50.201,50.542,50.88,46.329
-5.84,4.48,49.883,50.11,50.329,50.669,51.006,46.292
-5.76,4.48,50.014,50.24,50.459,50.798,51.133,46.253
-5.68,4.48,50.146,50.371,50.589,50.926,51.261,46.214
-5.6,4.48,50.278,50.503,50.72,51.056,51.389,46.173
-5.52,4.48,50.411,50.635,50.851,51.186,51.518,46.132
-5.44,4.48,50.545,50.768,50.983,51.316,51.647,46.089
-5.36,4.48,50.679,50.901,51.115,51.447,51.776,46.046
-5.28,4.48,50.814,51.035,51.248,51.579,51.906,46.002
-5.2,4.48,50.95,51.169,51.382,51.711,52.037,45.957
-5.12,4.48,51.086,51.304,51.516,51.843,52.168,45.912
-5.04,4.48,51.222,51.44,51.65,51.976,52.3,45.866
-4.96,4.48,51.359,51.576,51.785,52.11,52.432,45.82
-4.88,4.48,51.497,51.713,51.921,52.243,52.564,45.773
-4.8,4.48,51.635,51.85,52.056,52.378,52.697,45.726
-4.72,4.48,51.774,51.987,52.193,52.512,52.83,45.679
-4.64,4.48,51.913,52.125,52.33,52.647,52.963,45.632
-4.56,4.48,52.053,52.264,52.467,52.783,53.097,45.585
-4.48,4.48,52.193,52.402,52.604,52.918,53.231,45.538
-4.4,4.48,52.333,52.542,52.742,53.054,53.365,45.492
-4.32,4.48,52.474,52.681,52.88,53.191,53.499,45.445
-4.24,4.48,52.615,52.821,53.019,53.327,53.634,45.4
-4.16,4.48,52.757,52.961,53.157,53.464,53.768,45.354
-4.08,4.48,52.899,53.101,53.296,53.6,53.903,45.308
-4,4.48,53.041,53.242,53.435,53.737,54.038,45.262
-3.92,4.48,53.183,53.383,53.575,53.874,54.173,45.216
-3.84,4.48,53.326,53.523,53.714,54.011,54.308,45.17
-3.76,4.48,53.468,53.665,53.853,54.148,54.442,45.124
-3.68,4.48,53.611,53.806,53.993,54.285,54.577,45.079
-3.6,4.48,53.754,53.947,54.132,54.422,54.711,45.034
-3.52,4.48,53.897,54.088,54.272,54.559,54.846,44.99
-3.44,4.48,54.04,54.229,54.411,54.695,54.98,44.946
-3.36,4.48,54.183,54.37,54.55,54.831,55.113,44.903
-3.28,4.48,54.326,54.511,54.689,54.967,55.247,44.862
-3.2,4.48,54.469,54.652,54.828,55.103,55.38,44.822
-3.12,4.48,54.612,54.793,54.966,55.238,55.512,44.783
-3.04,4.48,54.754,54.933,55.104,55.373,55.644,44.746
-2.96,4.48,54.897,55.073,55.242,55.507,55.775,44.711
-2.88,4.48,55.039,55.212,55.379,55.641,55.905,44.678
-2.8,4.48,55.18,55.352,55.516,55.774,56.035,44.656
-2.72,4.48,55.322,55.491,55.652,55.907,56.164,44.638
-2.64,4.48,55.463,55.629,55.788,56.038,56.292,44.618
-2.56,4.48,55.603,55.767,55.923,56.169,56.419,44.594
