X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,39.161,39.256,39.331,39.437,37.734
-5.92,-6,39.265,39.359,39.432,39.538,37.7
-5.84,-6,39.369,39.462,39.534,39.64,37.666
-5.76,-6,39.474,39.565,39.636,39.741,37.632
-5.68,-6,39.579,39.669,39.738,39.843,37.598
-5.6,-6,39.685,39.774,39.842,39.945,37.564
-5.52,-6,39.791,39.879,39.946,40.048,37.531
-5.44,-6,39.899,39.985,40.051,40.15,37.497
-5.36,-6,40.006,40.091,40.155,40.253,37.463
-5.28,-6,40.113,40.197,40.26,40.356,37.429
-5.2,-6,40.22,40.303,40.364,40.459,37.396
-5.12,-6,40.327,40.409,40.469,40.562,37.362
-5.04,-6,40.434,40.514,40.573,40.666,37.329
-4.96,-6,40.541,40.62,40.678,40.769,37.296
-4.88,-6,40.649,40.727,40.783,40.873,37.263
-4.8,-6,40.756,40.833,40.888,40.977,37.23
-4.72,-6,40.863,40.939,40.993,41.08,37.197
-4.64,-6,40.97,41.044,41.097,41.182,37.165
-4.56,-6,41.077,41.15,41.201,41.285,37.134
-4.48,-6,41.184,41.255,41.306,41.387,37.116
-4.4,-6,41.291,41.361,41.41,41.49,37.097
-4.32,-6,41.398,41.467,41.515,41.593,37.078
-4.24,-6,41.506,41.573,41.62,41.697,37.058
-4.16,-6,41.613,41.679,41.725,41.8,37.038
-4.08,-6,41.721,41.785,41.83,41.903,37.018
-4,-6,41.828,41.891,41.935,42.006,36.997
-3.92,-6,41.935,41.997,42.039,42.108,36.976
-3.84,-6,42.042,42.103,42.143,42.21,36.954
-3.76,-6,42.149,42.208,42.247,42.312,36.932
-3.68,-6,42.255,42.312,42.35,42.413,36.909
-3.6,-6,42.36,42.416,42.452,42.514,36.887
-3.52,-6,42.465,42.519,42.554,42.614,36.864
-3.44,-6,42.57,42.623,42.656,42.715,36.84
-3.36,-6,42.674,42.726,42.757,42.815,36.817
-3.28,-6,42.779,42.828,42.858,42.914,36.793
-3.2,-6,42.882,42.93,42.958,43.013,36.769
-3.12,-6,42.986,43.032,43.059,43.112,36.744
-3.04,-6,43.089,43.134,43.159,43.211,36.72
-2.96,-6,43.191,43.234,43.258,43.309,36.696
-2.88,-6,43.293,43.335,43.357,43.406,36.666
