X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-0.88,-6,63.632,63.61,63.55,63.402,63.226,63.077,62.778,62.73,62.757,49.63
-0.8,-6,63.765,63.74,63.677,63.523,63.339,63.18,62.868,62.815,62.838,49.6
-0.72,-6,63.9,63.872,63.805,63.645,63.452,63.284,62.959,62.899,62.919,49.569
-0.64,-6,64.036,64.006,63.935,63.768,63.566,63.388,63.051,62.985,63.001,49.537
-0.56,-6,64.174,64.141,64.066,63.893,63.682,63.494,63.143,63.071,63.083,49.504
-0.48,-6,64.313,64.277,64.199,64.02,63.8,63.601,63.238,63.16,63.169,49.469
-0.4,-6,64.454,64.415,64.334,64.148,63.919,63.711,63.336,63.252,63.258,49.432
-0.32,-6,64.597,64.554,64.47,64.278,64.04,63.808,63.435,63.345,63.348,49.394
-0.24,-6,64.742,64.696,64.607,64.409,64.162,63.906,63.535,63.44,63.439,49.355
-0.16,-6,64.888,64.839,64.747,64.543,64.286,64.012,63.636,63.536,63.532,49.313
-0.08,-6,65.036,64.985,64.889,64.678,64.412,64.128,63.739,63.633,63.625,49.269
0,-6,65.187,65.132,65.032,64.816,64.54,64.245,63.829,63.732,63.721,49.223
0.08,-6,65.279,65.219,65.111,64.888,64.592,64.273,63.819,63.72,63.699,49.183
0.16,-6,65.419,65.354,65.242,65.012,64.703,64.368,63.888,63.789,63.762,49.144
0.24,-6,65.568,65.499,65.383,65.147,64.826,64.477,63.978,63.874,63.842,49.289
0.32,-6,65.722,65.651,65.53,65.288,64.956,64.594,64.076,63.968,63.93,49.269
0.4,-6,65.882,65.807,65.682,65.434,65.091,64.717,64.181,64.067,64.024,49.221
0.48,-6,66.045,65.967,65.838,65.584,65.232,64.845,64.29,64.17,64.124,49.171
0.56,-6,66.211,66.131,65.998,65.739,65.378,64.978,64.405,64.257,64.229,49.12
0.64,-6,66.382,66.298,66.162,65.897,65.527,65.116,64.523,64.355,64.338,49.066
0.72,-6,66.559,66.47,66.329,66.059,65.681,65.258,64.646,64.466,64.451,49.011
0.8,-6,66.738,66.648,66.503,66.225,65.84,65.404,64.774,64.583,64.569,48.955
0.88,-6,66.921,66.828,66.681,66.397,66.003,65.555,64.905,64.705,64.683,48.897
0.96,-6,67.107,67.012,66.861,66.573,66.17,65.711,65.042,64.832,64.79,48.838
1.04,-6,67.298,67.199,67.046,66.753,66.344,65.871,65.184,64.964,64.906,48.778
1.12,-6,67.492,67.391,67.235,66.938,66.523,66.037,65.33,65.101,65.036,48.717
1.2,-6,67.69,67.586,67.427,67.127,66.706,66.21,65.483,65.243,65.172,48.654
1.28,-6,67.892,67.786,67.624,67.321,66.895,66.388,65.641,65.392,65.314,48.591
1.36,-6,68.099,67.991,67.826,67.519,67.089,66.573,65.806,65.546,65.462,48.526
1.44,-6,68.3,68.199,68.033,67.723,67.289,66.763,65.979,65.708,65.617,48.46
1.52,-6,68.502,68.406,68.244,67.932,67.495,66.96,66.159,65.876,65.779,48.393
1.6,-6,68.715,68.611,68.459,68.147,67.707,67.163,66.346,66.053,65.949,48.326
1.68,-6,68.936,68.826,68.665,68.367,67.925,67.373,66.54,66.238,66.126,48.257
1.76,-6,69.162,69.051,68.883,68.592,68.15,67.591,66.743,66.431,66.312,48.187
1.84,-6,69.393,69.281,69.112,68.823,68.38,67.814,66.952,66.632,66.508,48.115
1.92,-6,69.628,69.515,69.346,69.058,68.616,68.045,67.171,66.842,66.713,48.043
2,-6,69.869,69.756,69.586,69.299,68.859,68.285,67.398,67.061,66.927,47.97
2.08,-6,70.115,70.001,69.832,69.547,69.11,68.532,67.636,67.291,67.152,47.896
2.16,-6,70.366,70.253,70.083,69.802,69.368,68.789,67.883,67.531,67.387,47.821
2.24,-6,70.623,70.51,70.341,70.064,69.635,69.054,68.141,67.782,67.635,47.745
2.32,-6,70.885,70.773,70.606,70.333,69.91,69.329,68.411,68.044,67.894,47.668
2.4,-6,71.153,71.042,70.876,70.61,70.193,69.614,68.691,68.318,68.165,47.591
2.48,-6,71.427,71.317,71.154,70.894,70.485,69.908,68.984,68.605,68.45,47.512
2.56,-6,71.707,71.599,71.438,71.185,70.786,70.213,69.289,68.905,68.749,47.432
2.64,-6,71.994,71.887,71.729,71.485,71.096,70.529,69.606,69.219,69.062,47.352
2.72,-6,72.286,72.182,72.027,71.793,71.416,70.856,69.937,69.547,69.39,47.271
2.8,-6,72.585,72.483,72.332,72.109,71.746,71.194,70.282,69.89,69.734,47.189
2.88,-6,72.89,72.792,72.645,72.435,72.086,71.544,70.641,70.248,70.095,47.106
2.96,-6,73.203,73.108,72.966,72.769,72.436,71.906,71.015,70.621,70.472,47.023
3.04,-6,73.522,73.432,73.295,73.112,72.797,72.281,71.403,71.011,70.866,46.939
3.12,-6,73.849,73.762,73.632,73.465,73.168,72.667,71.806,71.417,71.279,46.854
3.2,-6,74.182,74.1,73.976,73.827,73.551,73.067,72.226,71.841,71.71,46.768
3.28,-6,74.521,74.446,74.329,74.198,73.944,73.48,72.661,72.283,72.161,46.682
3.36,-6,74.868,74.798,74.69,74.579,74.349,73.907,73.113,72.744,72.632,46.595
3.44,-6,75.221,75.158,75.059,74.97,74.766,74.348,73.583,73.224,73.123,46.508
3.52,-6,75.58,75.526,75.436,75.371,75.196,74.804,74.07,73.724,73.637,46.42
3.6,-6,75.946,75.9,75.822,75.782,75.637,75.274,74.575,74.245,74.173,46.332
