X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
-6,-6,38.675,38.775,38.864,38.977,37.688
-5.92,-6,38.794,38.892,38.98,39.093,37.654
-5.84,-6,38.912,39.01,39.097,39.209,37.62
-5.76,-6,39.031,39.128,39.214,39.325,37.586
-5.68,-6,39.15,39.246,39.332,39.442,37.551
-5.6,-6,39.269,39.364,39.449,39.558,37.517
-5.52,-6,39.389,39.483,39.567,39.675,37.483
-5.44,-6,39.508,39.601,39.684,39.792,37.449
-5.36,-6,39.628,39.72,39.802,39.908,37.415
-5.28,-6,39.748,39.839,39.92,40.025,37.381
-5.2,-6,39.868,39.958,40.038,40.142,37.347
-5.12,-6,39.988,40.077,40.156,40.26,37.314
-5.04,-6,40.108,40.196,40.274,40.377,37.28
-4.96,-6,40.228,40.315,40.392,40.494,37.247
-4.88,-6,40.348,40.434,40.51,40.611,37.214
-4.8,-6,40.469,40.553,40.629,40.728,37.181
-4.72,-6,40.589,40.673,40.747,40.845,37.148
-4.64,-6,40.709,40.792,40.865,40.962,37.115
-4.56,-6,40.829,40.911,40.983,41.079,37.083
-4.48,-6,40.95,41.03,41.101,41.195,37.065
-4.4,-6,41.07,41.149,41.218,41.312,37.046
-4.32,-6,41.19,41.267,41.336,41.428,37.027
-4.24,-6,41.31,41.386,41.453,41.544,37.008
-4.16,-6,41.429,41.504,41.571,41.66,36.987
-4.08,-6,41.549,41.623,41.688,41.776,36.967
-4,-6,41.668,41.741,41.804,41.891,36.946
-3.92,-6,41.788,41.858,41.921,42.006,36.924
-3.84,-6,41.906,41.976,42.037,42.121,36.903
-3.76,-6,42.025,42.093,42.153,42.235,36.88
-3.68,-6,42.144,42.21,42.268,42.349,36.858
-3.6,-6,42.262,42.327,42.383,42.463,36.835
-3.52,-6,42.379,42.443,42.498,42.576,36.812
-3.44,-6,42.497,42.558,42.612,42.689,36.788
-3.36,-6,42.613,42.674,42.726,42.801,36.765
-3.28,-6,42.73,42.788,42.84,42.913,36.741
-3.2,-6,42.846,42.903,42.952,43.024,36.717
-3.12,-6,42.962,43.017,43.065,43.134,36.692
-3.04,-6,43.077,43.13,43.176,43.244,36.668
-2.96,-6,43.191,43.243,43.287,43.353,36.644
-2.88,-6,43.305,43.355,43.398,43.462,36.614
-2.8,-6,43.418,43.466,43.507,43.57,36.573
-2.72,-6,43.531,43.577,43.616,43.677,36.531
-2.64,-6,43.643,43.687,43.725,43.783,36.489
-2.56,-6,43.754,43.796,43.832,43.889,36.446
-2.48,-6,43.865,43.905,43.939,43.993,36.402
-2.4,-6,43.975,44.013,44.045,44.097,36.357
-2.32,-6,44.084,44.12,44.15,44.2,36.312
-2.24,-6,44.192,44.226,44.255,44.303,36.266
-2.16,-6,44.3,44.331,44.358,44.404,36.219
-2.08,-6,44.406,44.436,44.461,44.504,36.172
-2,-6,44.512,44.54,44.562,44.603,36.124
-1.92,-6,44.617,44.642,44.663,44.702,36.075
-1.84,-6,44.721,44.744,44.763,44.799,36.026
