X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),App(SEL)
3.04,-6,51.567,51.523,51.417,51.287,37.301
3.12,-6,51.576,51.528,51.42,51.282,37.175
3.2,-6,51.585,51.534,51.423,51.278,37.049
3.28,-6,51.593,51.54,51.426,51.274,36.923
3.36,-6,51.602,51.547,51.43,51.271,36.796
3.44,-6,51.611,51.553,51.434,51.268,36.669
3.52,-6,51.62,51.56,51.438,51.265,36.542
3.6,-6,51.621,51.567,51.443,51.264,36.415
3.68,-6,51.605,51.574,51.448,51.262,36.288
3.76,-6,51.589,51.581,51.453,51.262,36.161
3.84,-6,51.573,51.572,51.458,51.262,36.034
3.92,-6,51.558,51.554,51.464,51.262,35.907
4,-6,51.543,51.537,51.47,51.263,35.779
4.08,-6,51.528,51.52,51.457,51.264,35.652
4.16,-6,51.513,51.503,51.439,51.266,35.525
4.24,-6,51.499,51.486,51.421,51.268,35.398
4.32,-6,51.485,51.47,51.404,51.271,35.271
4.4,-6,51.471,51.454,51.387,51.274,35.144
4.48,-6,51.458,51.439,51.37,51.277,35.017
4.56,-6,51.445,51.424,51.354,51.281,34.891
4.64,-6,51.433,51.409,51.338,51.265,34.764
4.72,-6,51.421,51.395,51.322,51.246,34.638
4.8,-6,51.409,51.381,51.307,51.228,34.512
4.88,-6,51.398,51.368,51.293,51.21,34.386
4.96,-6,51.387,51.355,51.278,51.193,34.26
5.04,-6,51.377,51.342,51.265,51.176,34.135
5.12,-6,51.367,51.33,51.252,51.159,34.01
5.2,-6,51.357,51.319,51.239,51.143,33.885
5.28,-6,51.348,51.308,51.227,51.128,33.76
5.36,-6,51.34,51.297,51.215,51.113,33.636
5.44,-6,51.331,51.288,51.204,51.098,33.512
5.52,-6,51.329,51.278,51.194,51.084,33.388
5.6,-6,51.335,51.269,51.184,51.071,33.265
5.68,-6,51.341,51.261,51.174,51.058,33.142
5.76,-6,51.347,51.262,51.165,51.046,33.02
5.84,-6,51.354,51.267,51.157,51.035,32.898
5.92,-6,51.362,51.274,51.149,51.024,32.776
6,-6,51.37,51.281,51.152,51.013,32.654
-6,-5.92,43.416,43.501,43.616,43.776,44.126
-5.92,-5.92,43.541,43.625,43.74,43.899,44.133
-5.84,-5.92,43.667,43.75,43.865,44.023,44.14
-5.76,-5.92,43.792,43.875,43.99,44.147,44.146
-5.68,-5.92,43.918,44.001,44.115,44.271,44.153
-5.6,-5.92,44.044,44.126,44.24,44.395,44.16
-5.52,-5.92,44.171,44.252,44.365,44.52,44.167
-5.44,-5.92,44.297,44.378,44.49,44.644,44.172
-5.36,-5.92,44.424,44.503,44.616,44.769,44.178
-5.28,-5.92,44.55,44.629,44.741,44.893,44.182
-5.2,-5.92,44.677,44.755,44.867,45.018,44.186
-5.12,-5.92,44.804,44.881,44.992,45.143,44.19
-5.04,-5.92,44.93,45.007,45.118,45.267,44.201
-4.96,-5.92,45.057,45.133,45.243,45.392,44.217
-4.88,-5.92,45.184,45.259,45.369,45.516,44.218
-4.8,-5.92,45.311,45.385,45.494,45.641,44.208
-4.72,-5.92,45.437,45.511,45.62,45.765,44.197
-4.64,-5.92,45.564,45.637,45.745,45.889,44.184
-4.56,-5.92,45.691,45.763,45.87,46.013,44.171
-4.48,-5.92,45.817,45.888,45.995,46.137,44.157
-4.4,-5.92,45.943,46.013,46.12,46.26,44.141
-4.32,-5.92,46.069,46.138,46.244,46.384,44.125
-4.24,-5.92,46.195,46.263,46.368,46.507,44.107
-4.16,-5.92,46.32,46.388,46.492,46.629,44.089
-4.08,-5.92,46.446,46.512,46.616,46.751,44.069
-4,-5.92,46.57,46.636,46.739,46.873,44.048
-3.92,-5.92,46.695,46.759,46.862,46.995,44.027
-3.84,-5.92,46.819,46.882,46.984,47.116,44.004
-3.76,-5.92,46.943,47.005,47.106,47.236,43.981
-3.68,-5.92,47.066,47.127,47.227,47.356,43.956
-3.6,-5.92,47.189,47.248,47.348,47.475,43.931
-3.52,-5.92,47.311,47.369,47.468,47.594,43.905
-3.44,-5.92,47.432,47.49,47.588,47.712,43.878
-3.36,-5.92,47.553,47.609,47.707,47.83,43.85
-3.28,-5.92,47.674,47.728,47.825,47.946,43.821
-3.2,-5.92,47.793,47.847,47.943,48.062,43.792
-3.12,-5.92,47.912,47.964,48.059,48.177,43.764
-3.04,-5.92,48.03,48.081,48.175,48.291,43.734
-2.96,-5.92,48.147,48.197,48.29,48.404,43.703
-2.88,-5.92,48.264,48.312,48.404,48.517,43.67
-2.8,-5.92,48.379,48.426,48.517,48.628,43.637
-2.72,-5.92,48.494,48.539,48.63,48.738,43.601
-2.64,-5.92,48.607,48.65,48.741,48.848,43.565
-2.56,-5.92,48.72,48.761,48.851,48.956,43.527
-2.48,-5.92,48.831,48.871,48.96,49.063,43.488
-2.4,-5.92,48.941,48.98,49.067,49.168,43.448
-2.32,-5.92,49.051,49.087,49.174,49.273,43.406
