X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-0.88,-6,50.662,50.707,50.718,50.785,50.883,50.966,51.08,51.217,51.316,41.474
-0.8,-6,50.73,50.774,50.782,50.847,50.942,51.022,51.133,51.267,51.363,41.406
-0.72,-6,50.796,50.839,50.846,50.908,51,51.077,51.185,51.315,51.41,41.338
-0.64,-6,50.862,50.903,50.908,50.968,51.056,51.131,51.235,51.362,51.455,41.268
-0.56,-6,50.926,50.967,50.969,51.027,51.111,51.183,51.285,51.409,51.499,41.197
-0.48,-6,50.989,51.028,51.029,51.084,51.165,51.235,51.333,51.454,51.542,41.124
-0.4,-6,51.05,51.089,51.087,51.14,51.218,51.285,51.38,51.497,51.584,41.05
-0.32,-6,51.111,51.149,51.145,51.195,51.27,51.334,51.426,51.54,51.624,40.973
-0.24,-6,51.17,51.207,51.201,51.249,51.321,51.382,51.47,51.581,51.663,40.895
-0.16,-6,51.228,51.264,51.256,51.302,51.37,51.428,51.513,51.621,51.701,40.816
-0.08,-6,51.285,51.32,51.309,51.353,51.418,51.474,51.555,51.66,51.738,40.734
0,-6,51.34,51.375,51.362,51.403,51.465,51.518,51.596,51.697,51.773,40.65
0.08,-6,51.2,51.228,51.205,51.234,51.28,51.344,51.408,51.494,51.559,40.585
0.16,-6,51.201,51.226,51.197,51.219,51.257,51.321,51.377,51.455,51.515,40.521
0.24,-6,51.221,51.244,51.211,51.229,51.259,51.322,51.37,51.441,51.497,40.6
0.32,-6,51.25,51.271,51.235,51.248,51.271,51.333,51.374,51.44,51.493,40.531
0.4,-6,51.282,51.303,51.263,51.271,51.29,51.348,51.386,51.445,51.494,40.459
0.48,-6,51.318,51.336,51.293,51.298,51.311,51.368,51.399,51.453,51.499,40.385
0.56,-6,51.356,51.371,51.325,51.327,51.335,51.388,51.415,51.464,51.506,40.31
0.64,-6,51.404,51.414,51.359,51.356,51.359,51.409,51.431,51.476,51.515,40.233
0.72,-6,51.451,51.46,51.402,51.388,51.383,51.43,51.448,51.487,51.523,40.154
0.8,-6,51.497,51.506,51.444,51.427,51.408,51.451,51.463,51.499,51.532,40.075
0.88,-6,51.544,51.55,51.486,51.466,51.442,51.471,51.479,51.51,51.54,39.994
0.96,-6,51.59,51.595,51.526,51.503,51.474,51.497,51.494,51.52,51.547,39.912
1.04,-6,51.639,51.64,51.567,51.539,51.505,51.523,51.511,51.53,51.554,39.828
1.12,-6,51.688,51.687,51.608,51.576,51.535,51.548,51.531,51.54,51.561,39.744
1.2,-6,51.73,51.733,51.651,51.611,51.564,51.572,51.55,51.553,51.568,39.659
1.28,-6,51.716,51.757,51.692,51.65,51.593,51.595,51.568,51.566,51.574,39.573
1.36,-6,51.719,51.75,51.704,51.687,51.6,51.62,51.591,51.587,51.593,39.485
1.44,-6,51.749,51.759,51.697,51.723,51.606,51.65,51.617,51.611,51.616,39.397
1.52,-6,51.777,51.787,51.706,51.721,51.626,51.665,51.643,51.635,51.638,39.308
1.6,-6,51.804,51.813,51.729,51.727,51.655,51.658,51.667,51.656,51.659,39.218
1.68,-6,51.83,51.838,51.751,51.747,51.67,51.652,51.686,51.675,51.677,39.127
1.76,-6,51.854,51.862,51.772,51.766,51.685,51.663,51.678,51.692,51.694,39.035
1.84,-6,51.878,51.885,51.792,51.783,51.698,51.672,51.659,51.709,51.71,38.943
1.92,-6,51.901,51.907,51.811,51.8,51.71,51.681,51.654,51.724,51.725,38.849
2,-6,51.923,51.929,51.829,51.816,51.722,51.688,51.657,51.715,51.739,38.755
2.08,-6,51.944,51.949,51.846,51.831,51.732,51.694,51.659,51.691,51.752,38.66
2.16,-6,51.964,51.969,51.862,51.846,51.742,51.699,51.66,51.677,51.749,38.565
2.24,-6,51.984,51.988,51.878,51.859,51.751,51.704,51.66,51.674,51.72,38.469
2.32,-6,52.004,52.007,51.893,51.872,51.759,51.708,51.659,51.669,51.699,38.372
2.4,-6,52.022,52.026,51.908,51.885,51.767,51.711,51.657,51.663,51.691,38.275
2.48,-6,52.041,52.044,51.923,51.897,51.774,51.714,51.655,51.657,51.682,38.177
2.56,-6,52.059,52.061,51.937,51.909,51.78,51.716,51.652,51.65,51.673,38.079
2.64,-6,52.077,52.079,51.951,51.921,51.787,51.718,51.648,51.642,51.663,37.98
2.72,-6,52.095,52.096,51.965,51.932,51.793,51.719,51.645,51.634,51.652,37.881
2.8,-6,52.113,52.113,51.978,51.943,51.799,51.72,51.641,51.625,51.641,37.781
2.88,-6,52.131,52.13,51.992,51.954,51.805,51.721,51.636,51.616,51.629,37.681
