X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
0.16,-6,53.058,53.12,53.191,53.326,53.5,53.695,53.993,39.12
0.24,-6,53.048,53.108,53.177,53.309,53.478,53.676,53.969,39.298
0.32,-6,53.045,53.103,53.17,53.3,53.465,53.664,53.954,39.159
0.4,-6,53.045,53.102,53.168,53.295,53.458,53.656,53.944,39.018
0.48,-6,53.047,53.102,53.167,53.291,53.452,53.652,53.935,38.892
0.56,-6,53.058,53.104,53.166,53.289,53.446,53.646,53.928,38.775
0.64,-6,53.076,53.121,53.173,53.285,53.441,53.641,53.92,38.671
0.72,-6,53.093,53.136,53.187,53.289,53.435,53.634,53.911,38.574
0.8,-6,53.11,53.15,53.198,53.298,53.429,53.627,53.902,38.563
0.88,-6,53.128,53.164,53.209,53.305,53.434,53.617,53.89,38.5
0.96,-6,53.149,53.178,53.221,53.311,53.436,53.612,53.878,38.435
1.04,-6,53.172,53.197,53.231,53.316,53.436,53.61,53.863,38.361
1.12,-6,53.182,53.215,53.247,53.321,53.435,53.605,53.846,38.286
1.2,-6,53.006,53.193,53.261,53.327,53.434,53.599,53.834,38.209
1.28,-6,52.914,53.032,53.231,53.335,53.431,53.591,53.822,38.131
1.36,-6,52.901,52.953,53.076,53.341,53.428,53.581,53.808,38.052
1.44,-6,52.887,52.939,52.999,53.273,53.428,53.571,53.792,37.971
1.52,-6,52.871,52.921,52.981,53.14,53.425,53.559,53.775,37.889
1.6,-6,52.853,52.902,52.961,53.075,53.421,53.55,53.755,37.805
1.68,-6,52.832,52.881,52.938,53.051,53.271,53.539,53.734,37.72
1.76,-6,52.809,52.857,52.913,53.024,53.174,53.526,53.712,37.634
1.84,-6,52.785,52.832,52.886,52.995,53.137,53.497,53.687,37.546
1.92,-6,52.758,52.804,52.857,52.963,53.104,53.349,53.665,37.457
2,-6,52.729,52.774,52.825,52.93,53.069,53.259,53.642,37.366
2.08,-6,52.696,52.74,52.79,52.892,53.029,53.218,53.616,37.274
2.16,-6,52.66,52.703,52.752,52.852,52.987,53.175,53.587,37.181
2.24,-6,52.622,52.664,52.711,52.809,52.943,53.129,53.532,37.087
2.32,-6,52.583,52.624,52.669,52.764,52.896,53.08,53.39,36.991
2.4,-6,52.541,52.581,52.625,52.718,52.848,53.03,53.298,36.894
2.48,-6,52.498,52.537,52.579,52.669,52.797,52.978,53.245,36.796
2.56,-6,52.453,52.491,52.532,52.619,52.745,52.923,53.19,36.697
2.64,-6,52.407,52.444,52.482,52.567,52.691,52.867,53.133,36.597
2.72,-6,52.359,52.395,52.432,52.513,52.635,52.809,53.074,36.495
2.8,-6,52.31,52.344,52.379,52.458,52.577,52.749,53.013,36.392
2.88,-6,52.259,52.292,52.325,52.401,52.518,52.687,52.95,36.289
2.96,-6,52.206,52.238,52.27,52.343,52.456,52.623,52.885,36.184
3.04,-6,52.151,52.182,52.211,52.281,52.392,52.557,52.817,36.078
3.12,-6,52.095,52.123,52.151,52.219,52.327,52.489,52.748,35.972
3.2,-6,52.037,52.064,52.09,52.154,52.259,52.42,52.677,35.864
3.28,-6,51.978,52.003,52.028,52.089,52.191,52.349,52.604,35.756
3.36,-6,51.918,51.942,51.964,52.022,52.121,52.276,52.53,35.647
3.44,-6,51.857,51.879,51.899,51.954,52.05,52.203,52.455,35.537
3.52,-6,51.794,51.815,51.833,51.885,51.977,52.128,52.378,35.426
3.6,-6,51.732,51.749,51.766,51.815,51.904,52.051,52.3,35.315
3.68,-6,51.667,51.683,51.698,51.744,51.829,51.974,52.22,35.203
3.76,-6,51.602,51.616,51.629,51.672,51.753,51.895,52.139,35.09
3.84,-6,51.536,51.548,51.559,51.598,51.676,51.815,52.057,34.976
3.92,-6,51.468,51.479,51.488,51.524,51.598,51.735,51.973,34.862
4,-6,51.4,51.409,51.416,51.449,51.52,51.653,51.889,34.748
4.08,-6,51.332,51.338,51.344,51.373,51.44,51.57,51.803,34.633
4.16,-6,51.262,51.266,51.27,51.296,51.359,51.486,51.717,34.517
4.24,-6,51.191,51.194,51.196,51.219,51.278,51.402,51.629,34.402
4.32,-6,51.12,51.121,51.121,51.141,51.196,51.316,51.541,34.285
4.4,-6,51.048,51.047,51.045,51.062,51.113,51.23,51.451,34.169
4.48,-6,50.975,50.973,50.969,50.982,51.029,51.143,51.361,34.052
4.56,-6,50.902,50.898,50.892,50.902,50.945,51.055,51.27,33.934
4.64,-6,50.827,50.822,50.814,50.821,50.86,50.967,51.178,33.817
4.72,-6,50.752,50.745,50.736,50.74,50.774,50.878,51.085,33.699
4.8,-6,50.677,50.668,50.657,50.657,50.688,50.789,50.992,33.581
4.88,-6,50.601,50.59,50.577,50.575,50.602,50.698,50.898,33.463
4.96,-6,50.524,50.512,50.497,50.492,50.515,50.608,50.804,33.344
5.04,-6,50.447,50.433,50.417,50.408,50.427,50.517,50.709,33.226
5.12,-6,50.368,50.354,50.336,50.324,50.339,50.425,50.613,33.107
5.2,-6,50.29,50.274,50.254,50.24,50.25,50.333,50.517,32.989
5.28,-6,50.211,50.194,50.172,50.155,50.162,50.24,50.421,32.87
5.36,-6,50.131,50.112,50.089,50.069,50.072,50.147,50.324,32.752
5.44,-6,50.051,50.031,50.006,49.984,49.983,50.054,50.226,32.633
5.52,-6,49.97,49.949,49.923,49.898,49.893,49.961,50.128,32.514
5.6,-6,49.889,49.867,49.84,49.811,49.802,49.867,50.03,32.396
5.68,-6,49.807,49.783,49.755,49.724,49.712,49.773,49.932,32.277
5.76,-6,49.725,49.701,49.671,49.637,49.621,49.678,49.833,32.159
5.84,-6,49.642,49.617,49.586,49.55,49.53,49.584,49.734,32.041
5.92,-6,49.559,49.532,49.501,49.462,49.439,49.489,49.635,31.923
6,-6,49.475,49.448,49.416,49.374,49.347,49.394,49.536,31.805
-6,-5.92,46.144,46.248,46.357,46.545,46.771,46.975,47.341,42.18
-5.92,-5.92,46.269,46.372,46.481,46.669,46.895,47.099,47.465,42.156
-5.84,-5.92,46.393,46.496,46.605,46.793,47.019,47.223,47.588,42.132
-5.76,-5.92,46.518,46.621,46.73,46.917,47.143,47.347,47.712,42.108
-5.68,-5.92,46.642,46.745,46.854,47.042,47.267,47.471,47.836,42.083
-5.6,-5.92,46.767,46.87,46.979,47.166,47.392,47.595,47.96,42.058
-5.52,-5.92,46.892,46.994,47.103,47.29,47.516,47.72,48.084,42.033
-5.44,-5.92,47.017,47.119,47.228,47.415,47.64,47.844,48.208,42.007
-5.36,-5.92,47.142,47.243,47.352,47.539,47.765,47.968,48.332,41.98
-5.28,-5.92,47.267,47.368,47.477,47.664,47.889,48.092,48.456,41.953
-5.2,-5.92,47.391,47.493,47.601,47.788,48.013,48.216,48.58,41.926
-5.12,-5.92,47.516,47.617,47.726,47.912,48.137,48.34,48.704,41.899
-5.04,-5.92,47.641,47.741,47.85,48.037,48.261,48.464,48.827,41.871
-4.96,-5.92,47.765,47.866,47.974,48.161,48.385,48.587,48.951,41.842
-4.88,-5.92,47.89,47.99,48.098,48.284,48.508,48.711,49.074,41.813
-4.8,-5.92,48.014,48.114,48.222,48.408,48.632,48.834,49.197,41.784
-4.72,-5.92,48.138,48.237,48.345,48.531,48.755,48.956,49.319,41.754
-4.64,-5.92,48.261,48.36,48.468,48.654,48.877,49.079,49.441,41.724
-4.56,-5.92,48.384,48.483,48.591,48.776,48.999,49.2,49.562,41.693
-4.48,-5.92,48.507,48.605,48.712,48.897,49.12,49.321,49.683,41.662
