X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
-6,-6,40.216,40.435,40.708,41.093,41.426,41.748,39.068
-5.92,-6,40.332,40.551,40.822,41.207,41.538,41.859,39.134
-5.84,-6,40.448,40.666,40.937,41.32,41.65,41.97,39.199
-5.76,-6,40.564,40.782,41.052,41.434,41.763,42.082,39.263
-5.68,-6,40.681,40.898,41.167,41.547,41.876,42.194,39.327
-5.6,-6,40.798,41.014,41.282,41.661,41.989,42.305,39.39
-5.52,-6,40.915,41.13,41.397,41.776,42.102,42.417,39.452
-5.44,-6,41.032,41.247,41.513,41.89,42.215,42.529,39.512
-5.36,-6,41.15,41.364,41.629,42.004,42.328,42.642,39.571
-5.28,-6,41.268,41.481,41.745,42.119,42.441,42.754,39.629
-5.2,-6,41.386,41.598,41.861,42.234,42.555,42.866,39.685
-5.12,-6,41.504,41.716,41.977,42.348,42.668,42.978,39.739
-5.04,-6,41.623,41.834,42.093,42.463,42.782,43.09,39.792
-4.96,-6,41.742,41.951,42.21,42.578,42.895,43.203,39.843
-4.88,-6,41.861,42.069,42.327,42.693,43.009,43.315,39.891
-4.8,-6,41.98,42.188,42.443,42.808,43.122,43.427,39.938
-4.72,-6,42.099,42.306,42.56,42.923,43.236,43.539,39.982
-4.64,-6,42.219,42.424,42.677,43.038,43.349,43.651,40.024
-4.56,-6,42.338,42.543,42.794,43.154,43.463,43.763,40.064
-4.48,-6,42.458,42.662,42.912,43.269,43.576,43.875,40.101
-4.4,-6,42.578,42.78,43.029,43.384,43.69,43.986,40.136
-4.32,-6,42.698,42.899,43.146,43.499,43.803,44.098,40.168
-4.24,-6,42.819,43.019,43.263,43.614,43.916,44.209,40.185
-4.16,-6,42.939,43.138,43.381,43.729,44.029,44.321,40.173
-4.08,-6,43.06,43.257,43.498,43.844,44.142,44.432,40.16
-4,-6,43.181,43.377,43.616,43.959,44.255,44.542,40.146
-3.92,-6,43.302,43.496,43.733,44.074,44.367,44.653,40.13
-3.84,-6,43.423,43.616,43.851,44.189,44.48,44.763,40.114
-3.76,-6,43.544,43.736,43.968,44.304,44.592,44.873,40.097
-3.68,-6,43.666,43.856,44.086,44.418,44.704,44.983,40.079
-3.6,-6,43.788,43.976,44.203,44.533,44.816,45.092,40.061
-3.52,-6,43.91,44.096,44.321,44.647,44.928,45.201,40.043
-3.44,-6,44.032,44.216,44.439,44.762,45.039,45.31,40.025
-3.36,-6,44.154,44.337,44.557,44.876,45.15,45.418,40.008
-3.28,-6,44.277,44.457,44.674,44.99,45.261,45.527,39.99
-3.2,-6,44.4,44.578,44.792,45.105,45.372,45.634,39.974
-3.12,-6,44.523,44.699,44.91,45.219,45.483,45.742,39.958
-3.04,-6,44.647,44.821,45.028,45.333,45.593,45.849,39.944
-2.96,-6,44.771,44.942,45.147,45.447,45.703,45.955,39.93
-2.88,-6,44.895,45.064,45.265,45.56,45.813,46.061,39.918
-2.8,-6,45.02,45.186,45.383,45.674,45.923,46.167,39.907
-2.72,-6,45.145,45.308,45.502,45.788,46.032,46.273,39.898
-2.64,-6,45.271,45.431,45.621,45.902,46.142,46.378,39.896
-2.56,-6,45.397,45.554,45.74,46.016,46.251,46.483,39.887
-2.48,-6,45.523,45.678,45.86,46.13,46.36,46.587,39.872
-2.4,-6,45.65,45.802,45.979,46.244,46.469,46.691,39.856
-2.32,-6,45.778,45.927,46.099,46.358,46.578,46.795,39.84
-2.24,-6,45.907,46.052,46.22,46.472,46.686,46.898,39.824
-2.16,-6,46.036,46.178,46.341,46.587,46.795,47.001,39.808
-2.08,-6,46.166,46.304,46.462,46.702,46.904,47.104,39.794
-2,-6,46.296,46.431,46.584,46.817,47.012,47.207,39.78
-1.92,-6,46.427,46.559,46.706,46.932,47.121,47.309,39.767
-1.84,-6,46.56,46.687,46.829,47.047,47.23,47.411,39.755
-1.76,-6,46.693,46.816,46.952,47.163,47.338,47.513,39.745
-1.68,-6,46.827,46.946,47.076,47.28,47.447,47.615,39.737
-1.6,-6,46.961,47.077,47.201,47.396,47.556,47.717,39.731
-1.52,-6,47.097,47.208,47.326,47.513,47.666,47.818,39.727
-1.44,-6,47.233,47.34,47.452,47.631,47.775,47.92,39.715
-1.36,-6,47.371,47.473,47.579,47.749,47.885,48.022,39.698
-1.28,-6,47.509,47.607,47.706,47.867,47.995,48.123,39.683
-1.2,-6,47.648,47.741,47.834,47.987,48.105,48.225,39.674
-1.12,-6,47.787,47.876,47.962,48.106,48.216,48.326,39.678
-1.04,-6,47.927,48.012,48.091,48.226,48.327,48.428,39.682
-0.96,-6,48.068,48.148,48.221,48.346,48.438,48.53,39.687
-0.88,-6,48.209,48.285,48.351,48.467,48.55,48.632,39.693
-0.8,-6,48.35,48.422,48.481,48.588,48.662,48.734,39.701
-0.72,-6,48.492,48.559,48.612,48.71,48.774,48.836,39.709
-0.64,-6,48.634,48.696,48.742,48.831,48.886,48.938,39.717
-0.56,-6,48.775,48.833,48.873,48.953,48.998,49.04,39.726
-0.48,-6,48.916,48.969,49.003,49.074,49.11,49.142,39.735
-0.4,-6,49.056,49.105,49.133,49.196,49.222,49.244,39.742
-0.32,-6,49.195,49.24,49.262,49.316,49.334,49.346,39.747
-0.24,-6,49.333,49.375,49.391,49.437,49.446,49.447,39.75
-0.16,-6,49.47,49.508,49.518,49.557,49.557,49.548,39.748
-0.08,-6,49.605,49.639,49.644,49.675,49.668,49.649,39.741
0,-6,49.738,49.768,49.769,49.793,49.778,49.749,39.728
0.08,-6,49.844,49.87,49.864,49.88,49.858,49.818,39.717
0.16,-6,49.962,49.984,49.974,49.982,49.954,49.904,39.703
