X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
0.16,-6,53.738,53.766,53.796,53.858,53.949,53.991,54.296,39.252
0.24,-6,53.757,53.782,53.808,53.866,53.951,53.991,54.289,39.419
0.32,-6,53.783,53.805,53.828,53.883,53.961,53.998,54.29,39.279
0.4,-6,53.812,53.832,53.853,53.902,53.975,54.01,54.298,39.136
0.48,-6,53.844,53.863,53.881,53.925,53.994,54.024,54.305,39.008
0.56,-6,53.889,53.899,53.909,53.95,54.013,54.04,54.242,38.889
0.64,-6,53.937,53.944,53.95,53.975,54.034,54.056,54.215,38.782
0.72,-6,53.984,53.989,53.992,54.011,54.054,54.072,54.223,38.683
0.8,-6,54.033,54.034,54.034,54.048,54.081,54.088,54.232,38.667
0.88,-6,54.083,54.081,54.077,54.084,54.112,54.104,54.241,38.601
0.96,-6,54.137,54.128,54.121,54.121,54.143,54.129,54.25,38.532
1.04,-6,54.193,54.181,54.166,54.158,54.173,54.152,54.257,38.456
1.12,-6,54.198,54.233,54.215,54.196,54.202,54.174,54.268,38.378
1.2,-6,54.12,54.211,54.263,54.237,54.233,54.196,54.282,38.299
1.28,-6,54.11,54.147,54.233,54.279,54.263,54.217,54.295,38.218
1.36,-6,54.146,54.148,54.174,54.32,54.297,54.238,54.307,38.136
1.44,-6,54.183,54.181,54.176,54.26,54.331,54.259,54.318,38.053
1.52,-6,54.225,54.214,54.207,54.215,54.364,54.282,54.329,37.968
1.6,-6,54.267,54.247,54.237,54.225,54.346,54.306,54.339,37.883
1.68,-6,54.31,54.284,54.267,54.249,54.282,54.329,54.35,37.795
1.76,-6,54.353,54.323,54.297,54.273,54.27,54.353,54.361,37.707
1.84,-6,54.396,54.363,54.326,54.296,54.287,54.367,54.366,37.617
1.92,-6,54.44,54.403,54.36,54.32,54.304,54.377,54.368,37.526
2,-6,54.484,54.443,54.396,54.343,54.321,54.386,54.369,37.433
2.08,-6,54.529,54.484,54.433,54.367,54.338,54.395,54.37,37.34
2.16,-6,54.576,54.527,54.471,54.392,54.356,54.404,54.371,37.245
2.24,-6,54.623,54.57,54.51,54.417,54.374,54.414,54.371,37.149
2.32,-6,54.666,54.615,54.551,54.444,54.392,54.423,54.371,37.051
2.4,-6,54.707,54.661,54.592,54.477,54.411,54.433,54.371,36.953
2.48,-6,54.75,54.708,54.635,54.511,54.431,54.444,54.372,36.853
2.56,-6,54.794,54.75,54.679,54.547,54.453,54.455,54.373,36.752
2.64,-6,54.838,54.792,54.725,54.585,54.475,54.467,54.374,36.651
2.72,-6,54.884,54.835,54.773,54.624,54.498,54.48,54.376,36.548
2.8,-6,54.932,54.879,54.816,54.665,54.523,54.494,54.379,36.444
2.88,-6,54.981,54.925,54.859,54.708,54.548,54.509,54.382,36.339
2.96,-6,55.031,54.973,54.903,54.752,54.582,54.525,54.387,36.233
3.04,-6,55.083,55.022,54.948,54.799,54.618,54.543,54.393,36.126
3.12,-6,55.137,55.072,54.995,54.847,54.656,54.562,54.4,36.018
3.2,-6,55.192,55.125,55.044,54.898,54.696,54.583,54.408,35.909
3.28,-6,55.249,55.179,55.095,54.944,54.738,54.606,54.418,35.8
3.36,-6,55.308,55.235,55.147,54.99,54.782,54.63,54.429,35.69
3.44,-6,55.368,55.292,55.201,55.038,54.829,54.657,54.442,35.579
3.52,-6,55.43,55.352,55.257,55.087,54.878,54.685,54.457,35.467
3.6,-6,55.494,55.413,55.315,55.138,54.929,54.717,54.473,35.354
3.68,-6,55.559,55.476,55.375,55.192,54.983,54.756,54.492,35.241
3.76,-6,55.629,55.54,55.436,55.247,55.039,54.797,54.512,35.127
3.84,-6,55.71,55.607,55.5,55.304,55.097,54.842,54.535,35.013
3.92,-6,55.792,55.674,55.565,55.363,55.151,54.889,54.56,34.898
4,-6,55.877,55.756,55.632,55.425,55.204,54.938,54.587,34.783
4.08,-6,55.963,55.84,55.701,55.488,55.259,54.99,54.617,34.667
4.16,-6,56.051,55.927,55.775,55.553,55.317,55.045,54.649,34.55
4.24,-6,56.142,56.016,55.861,55.62,55.376,55.102,54.683,34.434
4.32,-6,56.233,56.107,55.95,55.689,55.438,55.162,54.72,34.317
4.4,-6,56.327,56.2,56.04,55.76,55.501,55.224,54.759,34.199
4.48,-6,56.422,56.295,56.133,55.833,55.566,55.289,54.801,34.081
4.56,-6,56.519,56.391,56.228,55.914,55.634,55.356,54.845,33.963
4.64,-6,56.617,56.489,56.326,56.006,55.703,55.422,54.892,33.845
4.72,-6,56.716,56.589,56.425,56.101,55.775,55.484,54.941,33.726
4.8,-6,56.816,56.69,56.525,56.198,55.848,55.549,54.993,33.608
4.88,-6,56.917,56.793,56.628,56.297,55.923,55.616,55.051,33.489
4.96,-6,57.019,56.897,56.732,56.399,56,55.684,55.115,33.37
5.04,-6,57.12,57.002,56.838,56.503,56.088,55.755,55.182,33.25
5.12,-6,57.215,57.107,56.945,56.609,56.188,55.828,55.251,33.131
5.2,-6,57.311,57.214,57.053,56.716,56.29,55.902,55.324,33.012
5.28,-6,57.407,57.321,57.162,56.826,56.394,55.979,55.399,32.893
5.36,-6,57.504,57.426,57.272,56.937,56.501,56.057,55.477,32.773
5.44,-6,57.602,57.525,57.383,57.049,56.61,56.137,55.557,32.654
5.52,-6,57.699,57.625,57.494,57.163,56.722,56.218,55.639,32.535
5.6,-6,57.802,57.726,57.606,57.278,56.836,56.32,55.724,32.415
5.68,-6,57.912,57.827,57.717,57.394,56.951,56.425,55.811,32.296
5.76,-6,58.022,57.929,57.821,57.512,57.069,56.534,55.901,32.177
5.84,-6,58.133,58.031,57.924,57.63,57.189,56.645,55.992,32.058
5.92,-6,58.244,58.137,58.029,57.748,57.31,56.759,56.085,31.94
6,-6,58.356,58.25,58.133,57.867,57.433,56.875,56.171,31.821
-6,-5.92,46.247,46.335,46.428,46.592,46.796,46.936,47.323,43.035
-5.92,-5.92,46.373,46.461,46.553,46.718,46.921,47.061,47.447,42.999
-5.84,-5.92,46.499,46.587,46.679,46.843,47.046,47.185,47.571,42.963
-5.76,-5.92,46.625,46.713,46.805,46.968,47.171,47.31,47.696,42.926
-5.68,-5.92,46.751,46.839,46.931,47.094,47.296,47.435,47.821,42.889
-5.6,-5.92,46.878,46.965,47.057,47.22,47.422,47.56,47.945,42.852
-5.52,-5.92,47.004,47.091,47.183,47.345,47.547,47.685,48.07,42.814
-5.44,-5.92,47.131,47.218,47.309,47.471,47.672,47.81,48.195,42.775
-5.36,-5.92,47.257,47.344,47.435,47.597,47.798,47.935,48.319,42.737
-5.28,-5.92,47.384,47.471,47.561,47.723,47.923,48.06,48.444,42.698
-5.2,-5.92,47.511,47.597,47.687,47.848,48.049,48.185,48.568,42.658
-5.12,-5.92,47.638,47.723,47.814,47.974,48.174,48.31,48.693,42.618
-5.04,-5.92,47.764,47.85,47.94,48.1,48.299,48.434,48.817,42.578
-4.96,-5.92,47.891,47.976,48.066,48.225,48.424,48.559,48.942,42.538
-4.88,-5.92,48.017,48.102,48.192,48.351,48.549,48.683,49.066,42.497
-4.8,-5.92,48.144,48.228,48.317,48.476,48.674,48.808,49.189,42.455
-4.72,-5.92,48.27,48.354,48.443,48.601,48.798,48.932,49.313,42.413
-4.64,-5.92,48.396,48.48,48.568,48.726,48.923,49.055,49.436,42.371
-4.56,-5.92,48.522,48.605,48.693,48.851,49.047,49.179,49.559,42.329
-4.48,-5.92,48.647,48.731,48.818,48.975,49.17,49.302,49.682,42.286
