X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),App(SEL)
0.16,-6,48.849,48.933,49.025,49.296,49.609,49.858,50.074,41.583
0.24,-6,48.92,48.996,49.081,49.314,49.645,49.892,50.115,41.485
0.32,-6,48.993,49.058,49.137,49.352,49.68,49.923,50.146,41.32
0.4,-6,49.061,49.118,49.19,49.392,49.691,49.949,50.171,41.147
0.48,-6,49.127,49.176,49.237,49.427,49.656,49.97,50.194,40.98
0.56,-6,49.186,49.228,49.279,49.455,49.648,49.984,50.208,40.81
0.64,-6,49.239,49.275,49.317,49.476,49.656,49.991,50.216,40.641
0.72,-6,49.285,49.316,49.35,49.491,49.659,49.991,50.217,40.473
0.8,-6,49.335,49.352,49.377,49.499,49.657,49.948,50.211,40.305
0.88,-6,49.379,49.39,49.402,49.502,49.647,49.876,50.2,40.135
0.96,-6,49.417,49.423,49.428,49.497,49.632,49.826,50.181,39.964
1.04,-6,49.452,49.451,49.449,49.495,49.611,49.796,50.155,39.792
1.12,-6,49.484,49.476,49.466,49.492,49.584,49.761,50.126,39.619
1.2,-6,49.512,49.5,49.48,49.486,49.556,49.721,50.031,39.445
1.28,-6,49.541,49.52,49.494,49.479,49.529,49.677,49.932,39.272
1.36,-6,49.568,49.543,49.505,49.47,49.498,49.629,49.858,39.098
1.44,-6,49.588,49.564,49.521,49.462,49.467,49.584,49.804,38.925
1.52,-6,49.589,49.582,49.535,49.454,49.439,49.538,49.746,38.752
1.6,-6,49.577,49.583,49.55,49.453,49.411,49.491,49.686,38.581
1.68,-6,49.561,49.579,49.554,49.453,49.388,49.445,49.628,38.41
1.76,-6,49.543,49.575,49.55,49.456,49.367,49.4,49.573,38.24
1.84,-6,49.526,49.56,49.547,49.455,49.346,49.353,49.518,38.071
1.92,-6,49.509,49.545,49.546,49.449,49.325,49.308,49.464,37.903
2,-6,49.493,49.532,49.547,49.447,49.309,49.268,49.412,37.737
2.08,-6,49.479,49.52,49.538,49.45,49.3,49.235,49.363,37.571
2.16,-6,49.467,49.511,49.531,49.457,49.298,49.209,49.319,37.407
2.24,-6,49.459,49.505,49.528,49.471,49.303,49.191,49.281,37.245
2.32,-6,49.454,49.503,49.528,49.49,49.317,49.181,49.248,37.083
2.4,-6,49.453,49.506,49.534,49.516,49.339,49.181,49.221,36.923
2.48,-6,49.458,49.513,49.544,49.548,49.37,49.19,49.202,36.763
2.56,-6,49.468,49.527,49.561,49.587,49.41,49.21,49.19,36.605
2.64,-6,49.485,49.546,49.583,49.624,49.46,49.241,49.187,36.448
2.72,-6,49.508,49.572,49.612,49.661,49.518,49.283,49.193,36.291
2.8,-6,49.539,49.605,49.647,49.706,49.585,49.336,49.212,36.136
2.88,-6,49.576,49.644,49.69,49.758,49.66,49.401,49.243,35.981
2.96,-6,49.621,49.691,49.739,49.817,49.744,49.476,49.284,35.828
3.04,-6,49.674,49.745,49.796,49.883,49.835,49.562,49.338,35.675
3.12,-6,49.734,49.805,49.859,49.956,49.933,49.659,49.403,35.522
3.2,-6,49.802,49.874,49.93,50.036,50.037,49.765,49.48,35.37
3.28,-6,49.878,49.949,50.007,50.123,50.137,49.88,49.568,35.219
3.36,-6,49.961,50.031,50.091,50.215,50.239,50.003,49.668,35.069
3.44,-6,50.053,50.121,50.181,50.314,50.347,50.134,49.778,34.918
3.52,-6,50.174,50.217,50.278,50.418,50.462,50.273,49.899,34.768
3.6,-6,50.305,50.319,50.38,50.527,50.582,50.417,50.03,34.619
3.68,-6,50.445,50.428,50.489,50.643,50.708,50.567,50.17,34.47
3.76,-6,50.594,50.542,50.603,50.763,50.839,50.721,50.319,34.321
3.84,-6,50.752,50.663,50.723,50.888,50.975,50.88,50.475,34.173
3.92,-6,50.918,50.796,50.848,51.018,51.116,51.042,50.639,34.025
4,-6,51.091,50.951,50.978,51.153,51.26,51.206,50.81,33.877
4.08,-6,51.271,51.114,51.113,51.291,51.409,51.368,50.987,33.729
4.16,-6,51.458,51.284,51.253,51.434,51.561,51.523,51.169,33.582
4.24,-6,51.65,51.461,51.396,51.58,51.716,51.684,51.356,33.435
4.32,-6,51.847,51.645,51.544,51.73,51.873,51.85,51.547,33.288
4.4,-6,52.049,51.836,51.707,51.883,52.034,52.019,51.742,33.141
4.48,-6,52.254,52.032,51.886,52.038,52.196,52.192,51.94,32.995
4.56,-6,52.462,52.233,52.071,52.197,52.361,52.369,52.14,32.849
4.64,-6,52.672,52.439,52.262,52.358,52.528,52.548,52.343,32.702
4.72,-6,52.884,52.649,52.459,52.523,52.699,52.731,52.547,32.557
4.8,-6,53.097,52.862,52.661,52.69,52.872,52.917,52.752,32.411
4.88,-6,53.311,53.078,52.868,52.861,53.048,53.104,52.958,32.266
4.96,-6,53.525,53.297,53.08,53.034,53.226,53.295,53.164,32.121
5.04,-6,53.739,53.518,53.296,53.21,53.408,53.487,53.371,31.976
5.12,-6,53.952,53.74,53.515,53.389,53.591,53.681,53.571,31.831
5.2,-6,54.164,53.963,53.738,53.57,53.777,53.876,53.764,31.687
5.28,-6,54.374,54.187,53.963,53.754,53.965,54.073,53.966,31.543
5.36,-6,54.583,54.41,54.191,53.94,54.155,54.27,54.171,31.399
5.44,-6,54.79,54.633,54.421,54.128,54.347,54.469,54.379,31.255
5.52,-6,55.001,54.855,54.652,54.318,54.54,54.668,54.591,31.112
5.6,-6,55.214,55.076,54.884,54.511,54.735,54.867,54.806,30.969
5.68,-6,55.43,55.295,55.116,54.709,54.931,55.07,55.023,30.827
5.76,-6,55.648,55.513,55.348,54.922,55.127,55.274,55.244,30.684
5.84,-6,55.87,55.728,55.58,55.14,55.325,55.481,55.467,30.542
5.92,-6,56.093,55.944,55.811,55.362,55.524,55.691,55.693,30.401
6,-6,56.319,56.163,56.041,55.589,55.725,55.902,55.921,30.26
-6,-5.92,39.578,39.777,39.969,40.341,40.724,41.123,41.48,46.112
-5.92,-5.92,39.719,39.917,40.109,40.481,40.864,41.263,41.62,46.083
-5.84,-5.92,39.859,40.058,40.25,40.621,41.004,41.403,41.759,46.054
-5.76,-5.92,40,40.198,40.39,40.761,41.145,41.543,41.898,46.026
-5.68,-5.92,40.141,40.339,40.531,40.902,41.285,41.682,42.038,45.999
-5.6,-5.92,40.282,40.48,40.672,41.043,41.425,41.822,42.177,45.972
-5.52,-5.92,40.423,40.621,40.812,41.183,41.566,41.962,42.317,45.945
-5.44,-5.92,40.564,40.762,40.953,41.324,41.706,42.103,42.456,45.92
-5.36,-5.92,40.704,40.902,41.094,41.465,41.847,42.243,42.596,45.895
-5.28,-5.92,40.845,41.043,41.235,41.605,41.987,42.383,42.735,45.871
-5.2,-5.92,40.986,41.184,41.375,41.746,42.127,42.523,42.875,45.848
