X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),App(SEL)
1.84,-6,53.781,53.762,53.78,53.691,53.612,40.259
1.92,-6,53.746,53.727,53.745,53.652,53.569,40.178
2,-6,53.707,53.687,53.707,53.622,53.543,40.096
2.08,-6,53.666,53.645,53.667,53.594,53.519,40.013
2.16,-6,53.623,53.6,53.624,53.565,53.495,39.929
2.24,-6,53.578,53.554,53.579,53.53,53.47,39.844
2.32,-6,53.532,53.506,53.533,53.483,53.446,39.757
2.4,-6,53.485,53.457,53.485,53.434,53.421,39.67
2.48,-6,53.437,53.408,53.436,53.383,53.393,39.582
2.56,-6,53.388,53.357,53.386,53.331,53.341,39.492
2.64,-6,53.338,53.305,53.335,53.277,53.288,39.402
2.72,-6,53.287,53.252,53.283,53.222,53.234,39.311
2.8,-6,53.235,53.199,53.23,53.166,53.178,39.218
2.88,-6,53.184,53.145,53.175,53.109,53.121,39.125
2.96,-6,53.144,53.09,53.12,53.051,53.062,39.031
3.04,-6,53.105,53.034,53.064,52.991,53.002,38.937
3.12,-6,53.043,52.986,53.007,52.931,52.941,38.841
3.2,-6,52.928,52.94,52.949,52.869,52.878,38.745
3.28,-6,52.845,52.888,52.891,52.807,52.815,38.648
3.36,-6,52.809,52.767,52.833,52.744,52.75,38.55
3.44,-6,52.774,52.674,52.777,52.68,52.683,38.451
3.52,-6,52.741,52.635,52.716,52.616,52.616,38.352
3.6,-6,52.707,52.598,52.594,52.551,52.548,38.252
3.68,-6,52.675,52.563,52.498,52.486,52.479,38.152
3.76,-6,52.642,52.529,52.457,52.425,52.41,38.051
3.84,-6,52.61,52.496,52.418,52.328,52.34,37.95
3.92,-6,52.578,52.464,52.381,52.216,52.27,37.848
4,-6,52.546,52.432,52.345,52.139,52.199,37.745
4.08,-6,52.496,52.4,52.311,52.096,52.128,37.642
4.16,-6,52.442,52.369,52.278,52.055,52.047,37.539
4.24,-6,52.388,52.337,52.245,52.016,51.921,37.435
4.32,-6,52.334,52.297,52.214,51.979,51.82,37.331
4.4,-6,52.281,52.243,52.183,51.945,51.771,37.227
4.48,-6,52.227,52.189,52.152,51.912,51.724,37.122
4.56,-6,52.173,52.136,52.122,51.881,51.68,37.017
4.64,-6,52.12,52.082,52.09,51.851,51.639,36.912
4.72,-6,52.068,52.029,52.037,51.822,51.601,36.806
4.8,-6,52.017,51.976,51.983,51.794,51.565,36.7
4.88,-6,51.967,51.923,51.93,51.767,51.532,36.594
4.96,-6,51.918,51.871,51.877,51.74,51.501,36.488
5.04,-6,51.87,51.821,51.824,51.713,51.472,36.382
5.12,-6,51.824,51.771,51.772,51.685,51.445,36.275
5.2,-6,51.779,51.723,51.72,51.644,51.42,36.169
5.28,-6,51.736,51.676,51.669,51.593,51.395,36.062
5.36,-6,51.696,51.63,51.62,51.541,51.371,35.955
5.44,-6,51.657,51.586,51.571,51.491,51.348,35.848
5.52,-6,51.621,51.543,51.524,51.441,51.325,35.742
5.6,-6,51.588,51.502,51.478,51.393,51.302,35.635
5.68,-6,51.558,51.464,51.433,51.345,51.279,35.528
5.76,-6,51.53,51.428,51.39,51.297,51.25,35.421
5.84,-6,51.504,51.394,51.348,51.25,51.201,35.314
5.92,-6,51.482,51.363,51.308,51.204,51.152,35.207
6,-6,51.467,51.335,51.27,51.159,51.104,35.101
-6,-5.92,47.253,47.485,47.68,48.078,48.439,43.382
-5.92,-5.92,47.358,47.589,47.784,48.182,48.543,43.39
-5.84,-5.92,47.463,47.694,47.889,48.285,48.646,43.398
-5.76,-5.92,47.567,47.798,47.993,48.389,48.75,43.403
-5.68,-5.92,47.672,47.903,48.097,48.493,48.853,43.408
-5.6,-5.92,47.778,48.007,48.202,48.597,48.957,43.411
-5.52,-5.92,47.883,48.112,48.306,48.701,49.06,43.412
-5.44,-5.92,47.988,48.217,48.41,48.804,49.163,43.412
-5.36,-5.92,48.093,48.321,48.514,48.908,49.267,43.408
-5.28,-5.92,48.198,48.426,48.619,49.012,49.37,43.402
-5.2,-5.92,48.302,48.53,48.723,49.115,49.473,43.395
-5.12,-5.92,48.407,48.635,48.827,49.219,49.576,43.387
-5.04,-5.92,48.512,48.739,48.93,49.322,49.679,43.377
-4.96,-5.92,48.616,48.843,49.034,49.425,49.781,43.366
-4.88,-5.92,48.721,48.947,49.138,49.528,49.883,43.354
-4.8,-5.92,48.825,49.05,49.241,49.63,49.985,43.34
-4.72,-5.92,48.929,49.154,49.344,49.732,50.087,43.325
-4.64,-5.92,49.033,49.257,49.446,49.834,50.189,43.308
-4.56,-5.92,49.136,49.36,49.549,49.936,50.29,43.291
