X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
3.04,-5.04,57.264,57.194,57.124,56.898,56.142,56.137,39.17
3.12,-5.04,57.311,57.243,57.175,56.967,56.263,56.259,39.05
3.2,-5.04,57.362,57.294,57.228,57.029,56.387,56.383,38.928
3.28,-5.04,57.415,57.347,57.282,57.092,56.512,56.508,38.806
3.36,-5.04,57.471,57.402,57.339,57.156,56.639,56.635,38.683
3.44,-5.04,57.529,57.459,57.397,57.22,56.765,56.762,38.56
3.52,-5.04,57.592,57.519,57.457,57.286,56.891,56.888,38.435
3.6,-5.04,57.657,57.582,57.519,57.352,57.016,57.013,38.311
3.68,-5.04,57.726,57.648,57.583,57.419,57.139,57.137,38.185
3.76,-5.04,57.798,57.716,57.648,57.487,57.259,57.258,38.06
3.84,-5.04,57.874,57.788,57.715,57.557,57.341,57.34,37.934
3.92,-5.04,57.953,57.863,57.785,57.627,57.422,57.422,37.807
4,-5.04,58.036,57.941,57.857,57.699,57.504,57.504,37.68
4.08,-5.04,58.123,58.022,57.932,57.772,57.585,57.585,37.553
4.16,-5.04,58.232,58.106,58.01,57.846,57.667,57.667,37.426
4.24,-5.04,58.346,58.193,58.09,57.922,57.749,57.749,37.298
4.32,-5.04,58.464,58.283,58.173,57.998,57.831,57.831,37.171
4.4,-5.04,58.585,58.397,58.258,58.076,57.913,57.913,37.043
4.48,-5.04,58.709,58.515,58.347,58.156,57.995,57.995,36.915
4.56,-5.04,58.836,58.638,58.437,58.237,58.077,58.077,36.787
4.64,-5.04,58.965,58.764,58.53,58.321,58.161,58.161,36.659
4.72,-5.04,59.095,58.892,58.642,58.407,58.245,58.245,36.531
4.8,-5.04,59.225,59.024,58.765,58.494,58.329,58.329,36.403
4.88,-5.04,59.357,59.157,58.891,58.584,58.414,58.414,36.275
4.96,-5.04,59.486,59.292,59.021,58.676,58.5,58.5,36.147
5.04,-5.04,59.61,59.427,59.154,58.77,58.587,58.587,36.019
5.12,-5.04,59.735,59.563,59.29,58.866,58.674,58.674,35.891
5.2,-5.04,59.861,59.698,59.428,58.963,58.763,58.762,35.764
5.28,-5.04,59.986,59.833,59.567,59.087,58.853,58.852,35.637
5.36,-5.04,60.111,59.96,59.708,59.216,58.944,58.944,35.51
5.44,-5.04,60.236,60.088,59.849,59.35,59.037,59.037,35.383
5.52,-5.04,60.374,60.215,59.989,59.487,59.132,59.131,35.256
5.6,-5.04,60.514,60.343,60.13,59.627,59.228,59.227,35.13
5.68,-5.04,60.656,60.47,60.27,59.771,59.326,59.325,35.004
5.76,-5.04,60.8,60.597,60.405,59.916,59.425,59.424,34.878
5.84,-5.04,60.944,60.725,60.535,60.064,59.526,59.525,34.752
5.92,-5.04,61.089,60.866,60.665,60.212,59.632,59.628,34.627
6,-5.04,61.234,61.007,60.796,60.362,59.763,59.759,34.503
-6,-4.96,45.089,45.293,45.502,45.902,46.312,46.315,43.564
-5.92,-4.96,45.213,45.417,45.625,46.025,46.434,46.437,43.561
-5.84,-4.96,45.337,45.541,45.749,46.147,46.556,46.56,43.558
