X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),Dep_SL7(SEL),Dep_SL8(SEL),Dep_SL9(SEL),App(SEL)
-0.88,-6,59.589,59.617,59.699,59.829,59.998,60.175,60.349,60.595,60.922,49.284
-0.8,-6,59.649,59.676,59.756,59.884,60.049,60.223,60.393,60.636,60.963,49.261
-0.72,-6,59.708,59.732,59.811,59.937,60.099,60.269,60.436,60.676,61.002,49.236
-0.64,-6,59.765,59.788,59.865,59.989,60.148,60.314,60.477,60.714,61.04,49.211
-0.56,-6,59.821,59.842,59.918,60.04,60.195,60.357,60.517,60.751,61.077,49.184
-0.48,-6,59.875,59.894,59.969,60.089,60.241,60.4,60.556,60.786,61.112,49.155
-0.4,-6,59.928,59.945,60.019,60.137,60.286,60.44,60.593,60.82,61.145,49.125
-0.32,-6,59.979,59.995,60.068,60.184,60.329,60.48,60.629,60.852,61.178,49.093
-0.24,-6,60.029,60.043,60.115,60.229,60.371,60.518,60.663,60.883,61.208,49.059
-0.16,-6,60.078,60.09,60.16,60.272,60.411,60.555,60.696,60.912,61.238,49.023
-0.08,-6,60.125,60.135,60.205,60.315,60.45,60.59,60.728,60.94,61.266,48.985
0,-6,60.17,60.179,60.247,60.355,60.488,60.624,60.758,60.967,61.292,48.944
0.08,-6,60.015,60.015,60.078,60.198,60.317,60.437,60.579,60.775,61.126,48.91
0.16,-6,59.999,59.994,60.054,60.175,60.286,60.398,60.538,60.727,61.085,48.876
0.24,-6,60.003,59.996,60.052,60.174,60.278,60.381,60.52,60.702,61.064,49.038
0.32,-6,60.017,60.007,60.06,60.182,60.279,60.377,60.511,60.689,61.054,49.024
0.4,-6,60.035,60.021,60.072,60.194,60.286,60.377,60.509,60.679,61.046,48.981
0.48,-6,60.054,60.039,60.088,60.207,60.295,60.38,60.508,60.674,61.043,48.935
0.56,-6,60.075,60.057,60.104,60.223,60.306,60.386,60.51,60.669,61.039,48.888
0.64,-6,60.098,60.076,60.122,60.237,60.317,60.391,60.512,60.666,61.037,48.839
0.72,-6,60.13,60.1,60.138,60.252,60.327,60.397,60.514,60.663,61.034,48.789
0.8,-6,60.162,60.13,60.164,60.266,60.337,60.402,60.515,60.658,61.03,48.736
0.88,-6,60.193,60.159,60.191,60.284,60.346,60.406,60.515,60.654,61.026,48.682
0.96,-6,60.222,60.186,60.216,60.305,60.353,60.409,60.515,60.648,61.021,48.627
1.04,-6,60.252,60.212,60.239,60.324,60.366,60.411,60.513,60.641,61.014,48.571
1.12,-6,60.281,60.239,60.262,60.342,60.38,60.411,60.509,60.633,61.007,48.513
1.2,-6,60.313,60.264,60.285,60.359,60.392,60.416,60.505,60.624,60.997,48.454
1.28,-6,60.346,60.293,60.306,60.374,60.402,60.422,60.498,60.612,60.986,48.394
1.36,-6,60.376,60.321,60.332,60.391,60.411,60.427,60.492,60.6,60.974,48.332
1.44,-6,60.354,60.348,60.357,60.408,60.419,60.429,60.49,60.586,60.96,48.27
1.52,-6,60.299,60.358,60.381,60.423,60.426,60.43,60.485,60.572,60.945,48.206
1.6,-6,60.278,60.338,60.402,60.434,60.429,60.428,60.479,60.558,60.93,48.141
1.68,-6,60.284,60.342,60.404,60.433,60.426,60.422,60.469,60.545,60.917,48.075
1.76,-6,60.288,60.344,60.404,60.431,60.421,60.414,60.458,60.53,60.901,48.008
1.84,-6,60.291,60.345,60.403,60.427,60.415,60.404,60.444,60.513,60.884,47.94
1.92,-6,60.292,60.344,60.4,60.421,60.406,60.393,60.43,60.495,60.865,47.871
2,-6,60.292,60.336,60.343,60.42,60.41,60.398,60.433,60.486,60.841,47.8
2.08,-6,60.292,60.334,60.303,60.419,60.414,60.403,60.435,60.484,60.817,47.729
2.16,-6,60.29,60.331,60.298,60.371,60.417,60.407,60.437,60.481,60.794,47.656
2.24,-6,60.287,60.326,60.291,60.311,60.419,60.41,60.438,60.477,60.77,47.582
2.32,-6,60.284,60.32,60.283,60.277,60.42,60.412,60.438,60.473,60.745,47.508
2.4,-6,60.279,60.314,60.274,60.264,60.42,60.413,60.438,60.468,60.718,47.432
2.48,-6,60.274,60.307,60.264,60.25,60.349,60.414,60.436,60.463,60.691,47.356
2.56,-6,60.269,60.299,60.253,60.235,60.29,60.413,60.434,60.456,60.662,47.278
2.64,-6,60.263,60.291,60.243,60.219,60.262,60.412,60.432,60.45,60.633,47.2
2.72,-6,60.257,60.282,60.231,60.203,60.241,60.41,60.428,60.442,60.603,47.121
2.8,-6,60.251,60.273,60.219,60.186,60.22,60.367,60.425,60.434,60.571,47.041
2.88,-6,60.245,60.263,60.207,60.169,60.198,60.297,60.42,60.426,60.54,46.96
2.96,-6,60.238,60.254,60.194,60.151,60.175,60.248,60.415,60.417,60.508,46.878
3.04,-6,60.231,60.244,60.181,60.133,60.152,60.22,60.407,60.408,60.476,46.796
3.12,-6,60.224,60.234,60.168,60.114,60.128,60.191,60.336,60.397,60.443,46.713
3.2,-6,60.217,60.224,60.155,60.095,60.103,60.161,60.269,60.387,60.409,46.629
3.28,-6,60.21,60.214,60.142,60.075,60.078,60.13,60.228,60.376,60.376,46.544
3.36,-6,60.203,60.204,60.129,60.056,60.053,60.099,60.194,60.365,60.345,46.459
3.44,-6,60.196,60.194,60.117,60.037,60.027,60.068,60.159,60.354,60.313,46.373
3.52,-6,60.19,60.184,60.104,60.018,60.001,60.036,60.124,60.338,60.28,46.287
3.6,-6,60.183,60.174,60.091,59.999,59.975,60.004,60.089,60.266,60.248,46.2
3.68,-6,60.177,60.164,60.079,59.98,59.949,59.971,60.053,60.194,60.215,46.112
3.76,-6,60.171,60.155,60.067,59.962,59.923,59.939,60.016,60.147,60.181,46.024
3.84,-6,60.166,60.147,60.055,59.943,59.897,59.906,59.98,60.106,60.148,45.936
3.92,-6,60.161,60.138,60.044,59.925,59.871,59.873,59.943,60.065,60.088,45.846
4,-6,60.156,60.13,60.033,59.907,59.846,59.84,59.906,60.024,60.009,45.757
4.08,-6,60.152,60.123,60.022,59.89,59.82,59.807,59.868,59.982,59.95,45.667
4.16,-6,60.149,60.116,60.013,59.873,59.795,59.777,59.831,59.941,59.907,45.577
4.24,-6,60.146,60.109,60.003,59.856,59.77,59.746,59.794,59.899,59.864,45.486
4.32,-6,60.143,60.104,59.995,59.84,59.745,59.716,59.757,59.856,59.821,45.395
4.4,-6,60.141,60.098,59.986,59.825,59.721,59.687,59.72,59.814,59.777,45.303
4.48,-6,60.14,60.094,59.979,59.81,59.698,59.657,59.683,59.772,59.734,45.212
4.56,-6,60.139,60.09,59.972,59.796,59.674,59.628,59.646,59.73,59.691,45.12
4.64,-6,60.138,60.087,59.966,59.783,59.652,59.6,59.61,59.687,59.648,45.028
4.72,-6,60.141,60.084,59.961,59.77,59.63,59.572,59.574,59.645,59.605,44.935
4.8,-6,60.146,60.082,59.957,59.758,59.608,59.545,59.538,59.603,59.562,44.842
4.88,-6,60.151,60.081,59.953,59.746,59.587,59.518,59.502,59.562,59.519,44.75
4.96,-6,60.157,60.08,59.95,59.736,59.567,59.491,59.467,59.52,59.476,44.657
5.04,-6,60.164,60.082,59.948,59.726,59.547,59.466,59.433,59.479,59.434,44.564
5.12,-6,60.171,60.086,59.946,59.717,59.529,59.441,59.399,59.439,59.392,44.47
5.2,-6,60.179,60.091,59.945,59.708,59.51,59.416,59.365,59.398,59.35,44.377
5.28,-6,60.189,60.096,59.945,59.701,59.493,59.393,59.332,59.358,59.308,44.284
5.36,-6,60.203,60.103,59.948,59.695,59.477,59.37,59.3,59.319,59.267,44.19
5.44,-6,60.218,60.11,59.953,59.689,59.461,59.348,59.268,59.28,59.227,44.096
5.52,-6,60.234,60.117,59.958,59.684,59.446,59.327,59.237,59.241,59.187,44.003
5.6,-6,60.25,60.129,59.964,59.68,59.432,59.307,59.207,59.203,59.147,43.909
5.68,-6,60.266,60.142,59.971,59.677,59.419,59.288,59.177,59.166,59.108,43.816
5.76,-6,60.283,60.156,59.979,59.674,59.407,59.269,59.148,59.129,59.069,43.722
5.84,-6,60.3,60.17,59.986,59.673,59.395,59.252,59.119,59.093,59.031,43.629
5.92,-6,60.318,60.185,59.998,59.672,59.385,59.235,59.092,59.056,58.994,43.535
6,-6,60.336,60.2,60.01,59.672,59.375,59.219,59.065,59.021,58.957,43.442
-6,-5.92,54.241,54.358,54.499,54.73,55.043,55.364,55.658,56.008,56.344,50.399
-5.92,-5.92,54.334,54.45,54.591,54.821,55.133,55.452,55.745,56.095,56.431,50.372
-5.84,-5.92,54.427,54.543,54.683,54.912,55.223,55.541,55.833,56.183,56.518,50.345
-5.76,-5.92,54.521,54.636,54.775,55.004,55.313,55.63,55.921,56.27,56.605,50.319
-5.68,-5.92,54.614,54.728,54.867,55.095,55.403,55.719,56.01,56.357,56.692,50.293
-5.6,-5.92,54.708,54.821,54.96,55.186,55.493,55.808,56.098,56.445,56.779,50.267
-5.52,-5.92,54.802,54.914,55.052,55.278,55.584,55.897,56.186,56.532,56.866,50.242
-5.44,-5.92,54.896,55.008,55.145,55.369,55.674,55.987,56.274,56.619,56.953,50.218
-5.36,-5.92,54.99,55.101,55.237,55.461,55.764,56.076,56.362,56.707,57.04,50.194
-5.28,-5.92,55.084,55.194,55.33,55.553,55.855,56.165,56.45,56.794,57.128,50.17
-5.2,-5.92,55.179,55.287,55.423,55.644,55.945,56.254,56.538,56.881,57.215,50.147
-5.12,-5.92,55.273,55.381,55.516,55.736,56.035,56.343,56.626,56.968,57.301,50.128
-5.04,-5.92,55.367,55.474,55.608,55.828,56.126,56.432,56.714,57.055,57.388,50.114
-4.96,-5.92,55.462,55.567,55.701,55.919,56.216,56.52,56.802,57.142,57.475,50.1
-4.88,-5.92,55.556,55.661,55.794,56.011,56.306,56.609,56.889,57.228,57.561,50.086
-4.8,-5.92,55.65,55.754,55.886,56.102,56.396,56.698,56.977,57.315,57.648,50.08
-4.72,-5.92,55.744,55.847,55.979,56.194,56.486,56.786,57.064,57.401,57.734,50.075
-4.64,-5.92,55.839,55.94,56.071,56.285,56.575,56.874,57.151,57.487,57.82,50.069
-4.56,-5.92,55.933,56.033,56.164,56.376,56.665,56.962,57.238,57.573,57.905,50.062
-4.48,-5.92,56.027,56.126,56.256,56.467,56.754,57.05,57.324,57.659,57.991,50.055
-4.4,-5.92,56.12,56.219,56.348,56.558,56.843,57.138,57.41,57.744,58.076,50.048
-4.32,-5.92,56.214,56.312,56.44,56.648,56.932,57.225,57.496,57.829,58.161,50.041
-4.24,-5.92,56.308,56.404,56.531,56.739,57.021,57.312,57.582,57.913,58.245,50.033
-4.16,-5.92,56.401,56.496,56.623,56.829,57.109,57.399,57.667,57.997,58.329,50.024
-4.08,-5.92,56.494,56.588,56.714,56.919,57.197,57.485,57.752,58.081,58.413,50.016
-4,-5.92,56.587,56.68,56.805,57.008,57.285,57.571,57.837,58.165,58.496,50.007
-3.92,-5.92,56.68,56.771,56.895,57.097,57.372,57.656,57.921,58.247,58.579,49.998
-3.84,-5.92,56.772,56.863,56.986,57.186,57.459,57.741,58.004,58.33,58.661,49.988
-3.76,-5.92,56.864,56.953,57.076,57.275,57.545,57.826,58.088,58.412,58.742,49.978
-3.68,-5.92,56.956,57.044,57.165,57.363,57.631,57.91,58.17,58.493,58.824,49.968
-3.6,-5.92,57.047,57.134,57.254,57.45,57.717,57.994,58.252,58.574,58.904,49.96
-3.52,-5.92,57.138,57.223,57.343,57.538,57.802,58.077,58.334,58.654,58.984,49.952
-3.44,-5.92,57.229,57.313,57.431,57.624,57.887,58.159,58.415,58.733,59.064,49.944
-3.36,-5.92,57.319,57.401,57.519,57.71,57.971,58.241,58.495,58.812,59.142,49.936
-3.28,-5.92,57.409,57.49,57.606,57.796,58.054,58.323,58.574,58.89,59.22,49.928
-3.2,-5.92,57.498,57.577,57.693,57.881,58.137,58.403,58.653,58.968,59.297,49.919
-3.12,-5.92,57.587,57.664,57.779,57.966,58.219,58.483,58.731,59.044,59.374,49.902
-3.04,-5.92,57.675,57.751,57.865,58.05,58.301,58.562,58.808,59.12,59.449,49.884
-2.96,-5.92,57.762,57.837,57.95,58.133,58.381,58.641,58.885,59.195,59.524,49.867
-2.88,-5.92,57.849,57.922,58.034,58.215,58.461,58.718,58.961,59.269,59.598,49.849
-2.8,-5.92,57.935,58.007,58.118,58.297,58.541,58.795,59.035,59.342,59.671,49.831
-2.72,-5.92,58.021,58.091,58.201,58.378,58.619,58.871,59.109,59.414,59.743,49.813
-2.64,-5.92,58.106,58.174,58.283,58.459,58.697,58.946,59.182,59.485,59.814,49.795
-2.56,-5.92,58.19,58.257,58.364,58.538,58.774,59.021,59.254,59.555,59.884,49.777
-2.48,-5.92,58.274,58.339,58.445,58.617,58.85,59.094,59.325,59.624,59.953,49.759
-2.4,-5.92,58.356,58.419,58.525,58.695,58.925,59.166,59.395,59.692,60.021,49.741
-2.32,-5.92,58.438,58.5,58.604,58.772,58.999,59.238,59.464,59.759,60.088,49.723
-2.24,-5.92,58.519,58.579,58.682,58.848,59.072,59.308,59.532,59.825,60.154,49.705
-2.16,-5.92,58.599,58.657,58.759,58.923,59.144,59.377,59.599,59.89,60.218,49.687
-2.08,-5.92,58.678,58.735,58.835,58.997,59.216,59.445,59.665,59.953,60.282,49.67
-2,-5.92,58.756,58.811,58.91,59.07,59.286,59.512,59.729,60.016,60.344,49.652
-1.92,-5.92,58.834,58.886,58.984,59.142,59.355,59.578,59.793,60.077,60.405,49.635
-1.84,-5.92,58.91,58.961,59.058,59.214,59.423,59.643,59.855,60.136,60.464,49.618
-1.76,-5.92,58.985,59.034,59.13,59.284,59.49,59.707,59.916,60.195,60.523,49.61
-1.68,-5.92,59.059,59.107,59.201,59.353,59.556,59.769,59.975,60.252,60.58,49.603
-1.6,-5.92,59.133,59.178,59.271,59.42,59.62,59.831,60.034,60.308,60.636,49.596
-1.52,-5.92,59.205,59.248,59.34,59.487,59.684,59.891,60.091,60.362,60.69,49.588
-1.44,-5.92,59.275,59.317,59.407,59.553,59.746,59.95,60.147,60.415,60.743,49.575
-1.36,-5.92,59.345,59.385,59.474,59.617,59.807,60.007,60.201,60.467,60.794,49.556
-1.28,-5.92,59.414,59.451,59.539,59.68,59.867,60.063,60.254,60.517,60.845,49.537
-1.2,-5.92,59.481,59.517,59.603,59.742,59.925,60.118,60.306,60.566,60.893,49.518
-1.12,-5.92,59.547,59.581,59.666,59.803,59.983,60.172,60.356,60.613,60.941,49.498
-1.04,-5.92,59.612,59.644,59.728,59.862,60.039,60.224,60.405,60.659,60.986,49.477
-0.96,-5.92,59.675,59.705,59.788,59.921,60.093,60.275,60.453,60.704,61.031,49.456
-0.88,-5.92,59.737,59.765,59.847,59.977,60.147,60.325,60.499,60.747,61.074,49.434
-0.8,-5.92,59.798,59.824,59.905,60.033,60.199,60.373,60.544,60.788,61.115,49.411
-0.72,-5.92,59.857,59.882,59.961,60.087,60.249,60.42,60.587,60.829,61.155,49.386
-0.64,-5.92,59.915,59.938,60.016,60.14,60.299,60.465,60.629,60.867,61.194,49.361
-0.56,-5.92,59.972,59.993,60.069,60.191,60.347,60.509,60.67,60.904,61.231,49.334
-0.48,-5.92,60.027,60.046,60.121,60.241,60.393,60.552,60.709,60.94,61.266,49.306
-0.4,-5.92,60.08,60.098,60.172,60.29,60.439,60.593,60.747,60.974,61.3,49.276
-0.32,-5.92,60.133,60.148,60.221,60.337,60.482,60.633,60.783,61.007,61.333,49.244
-0.24,-5.92,60.183,60.197,60.269,60.383,60.525,60.672,60.818,61.038,61.364,49.21
-0.16,-5.92,60.232,60.244,60.315,60.427,60.566,60.709,60.851,61.068,61.394,49.174
-0.08,-5.92,60.28,60.29,60.36,60.47,60.605,60.745,60.883,61.096,61.422,49.135
0,-5.92,60.326,60.335,60.403,60.511,60.643,60.779,60.914,61.123,61.449,49.094
0.08,-5.92,60.171,60.171,60.233,60.353,60.472,60.592,60.734,60.931,61.282,49.06
0.16,-5.92,60.155,60.15,60.209,60.331,60.442,60.553,60.694,60.883,61.242,49.027
0.24,-5.92,60.16,60.152,60.208,60.33,60.434,60.536,60.675,60.858,61.221,49.189
0.32,-5.92,60.174,60.163,60.217,60.338,60.435,60.532,60.667,60.845,61.21,49.175
0.4,-5.92,60.192,60.178,60.229,60.35,60.442,60.533,60.664,60.835,61.202,49.132
0.48,-5.92,60.212,60.196,60.245,60.364,60.452,60.536,60.663,60.83,61.199,49.086
0.56,-5.92,60.233,60.214,60.262,60.38,60.462,60.541,60.666,60.824,61.195,49.039
0.64,-5.92,60.256,60.233,60.279,60.394,60.473,60.547,60.667,60.821,61.193,48.989
0.72,-5.92,60.289,60.258,60.295,60.409,60.483,60.552,60.669,60.817,61.189,48.938
0.8,-5.92,60.32,60.288,60.322,60.423,60.493,60.557,60.67,60.813,61.185,48.885
0.88,-5.92,60.351,60.316,60.348,60.441,60.502,60.561,60.669,60.808,61.181,48.831
0.96,-5.92,60.381,60.343,60.373,60.462,60.509,60.564,60.669,60.802,61.175,48.775
1.04,-5.92,60.411,60.37,60.397,60.481,60.522,60.566,60.666,60.794,61.168,48.718
1.12,-5.92,60.44,60.396,60.419,60.499,60.536,60.566,60.663,60.786,61.16,48.66
1.2,-5.92,60.472,60.422,60.442,60.515,60.548,60.57,60.657,60.776,61.15,48.6
1.28,-5.92,60.504,60.45,60.463,60.531,60.558,60.576,60.651,60.764,61.139,48.539
1.36,-5.92,60.535,60.479,60.489,60.547,60.566,60.58,60.644,60.751,61.126,48.477
1.44,-5.92,60.512,60.505,60.514,60.564,60.574,60.582,60.641,60.736,61.112,48.414
1.52,-5.92,60.457,60.515,60.538,60.579,60.58,60.582,60.636,60.722,61.095,48.349
1.6,-5.92,60.435,60.494,60.558,60.589,60.583,60.58,60.629,60.707,61.08,48.284
1.68,-5.92,60.44,60.498,60.56,60.589,60.58,60.573,60.619,60.693,61.066,48.217
1.76,-5.92,60.444,60.5,60.56,60.586,60.574,60.565,60.606,60.677,61.05,48.149
1.84,-5.92,60.446,60.5,60.558,60.581,60.567,60.554,60.593,60.66,61.032,48.08
1.92,-5.92,60.446,60.499,60.555,60.575,60.558,60.543,60.578,60.64,61.012,48.009
2,-5.92,60.447,60.49,60.494,60.574,60.562,60.548,60.581,60.632,60.987,47.938
2.08,-5.92,60.445,60.487,60.456,60.572,60.566,60.553,60.583,60.629,60.963,47.866
2.16,-5.92,60.443,60.483,60.45,60.52,60.568,60.556,60.584,60.626,60.939,47.792
2.24,-5.92,60.44,60.478,60.442,60.459,60.57,60.559,60.585,60.622,60.914,47.718
2.32,-5.92,60.436,60.472,60.434,60.426,60.57,60.561,60.585,60.617,60.888,47.642
2.4,-5.92,60.431,60.465,60.424,60.413,60.569,60.562,60.584,60.612,60.861,47.565
2.48,-5.92,60.426,60.457,60.413,60.398,60.495,60.562,60.582,60.606,60.833,47.488
2.56,-5.92,60.42,60.449,60.403,60.382,60.436,60.561,60.58,60.599,60.803,47.409
2.64,-5.92,60.413,60.441,60.391,60.366,60.408,60.56,60.577,60.592,60.773,47.33
2.72,-5.92,60.407,60.431,60.379,60.35,60.387,60.558,60.574,60.585,60.742,47.25
2.8,-5.92,60.4,60.422,60.367,60.332,60.365,60.51,60.569,60.576,60.71,47.168
2.88,-5.92,60.393,60.411,60.353,60.314,60.343,60.44,60.565,60.568,60.678,47.086
2.96,-5.92,60.386,60.401,60.34,60.296,60.319,60.391,60.559,60.558,60.645,47.004
3.04,-5.92,60.379,60.391,60.327,60.277,60.295,60.362,60.55,60.549,60.612,46.92
3.12,-5.92,60.372,60.381,60.313,60.257,60.27,60.332,60.476,60.538,60.579,46.836
3.2,-5.92,60.364,60.37,60.3,60.238,60.245,60.302,60.408,60.527,60.544,46.751
3.28,-5.92,60.357,60.36,60.287,60.218,60.22,60.271,60.368,60.516,60.511,46.665
3.36,-5.92,60.349,60.349,60.273,60.198,60.194,60.239,60.333,60.505,60.479,46.578
3.44,-5.92,60.342,60.338,60.26,60.178,60.167,60.207,60.298,60.494,60.446,46.491
3.52,-5.92,60.335,60.328,60.247,60.159,60.141,60.174,60.262,60.476,60.413,46.403
3.6,-5.92,60.329,60.318,60.234,60.14,60.114,60.141,60.226,60.401,60.38,46.315
3.68,-5.92,60.323,60.308,60.221,60.12,60.088,60.108,60.189,60.328,60.347,46.226
3.76,-5.92,60.316,60.299,60.209,60.101,60.061,60.075,60.152,60.282,60.313,46.137
3.84,-5.92,60.311,60.29,60.197,60.083,60.034,60.041,60.115,60.241,60.279,46.047
3.92,-5.92,60.306,60.281,60.185,60.064,60.008,60.008,60.077,60.199,60.216,45.957
4,-5.92,60.301,60.273,60.174,60.046,59.982,59.974,60.039,60.157,60.137,45.866
4.08,-5.92,60.297,60.266,60.163,60.028,59.956,59.941,60.002,60.115,60.078,45.775
4.16,-5.92,60.293,60.259,60.153,60.011,59.931,59.91,59.964,60.073,60.035,45.683
4.24,-5.92,60.29,60.252,60.144,59.994,59.905,59.879,59.926,60.03,59.991,45.591
4.32,-5.92,60.288,60.246,60.135,59.978,59.88,59.849,59.889,59.987,59.947,45.499
4.4,-5.92,60.286,60.241,60.127,59.963,59.856,59.819,59.851,59.944,59.903,45.406
4.48,-5.92,60.285,60.237,60.12,59.948,59.832,59.789,59.814,59.902,59.86,45.313
4.56,-5.92,60.284,60.233,60.113,59.933,59.808,59.76,59.777,59.859,59.816,45.22
