X(nmi),Y(nmi),Dep_SL1(SEL),Dep_SL2(SEL),Dep_SL3(SEL),Dep_SL4(SEL),Dep_SL5(SEL),Dep_SL6(SEL),App(SEL)
1.76,-3.92,57.736,57.641,57.525,57.302,57.003,57,43.469
1.84,-3.92,57.708,57.612,57.493,57.259,56.972,56.969,43.334
1.92,-3.92,57.675,57.578,57.457,57.219,56.927,56.924,43.196
2,-3.92,57.64,57.542,57.42,57.178,56.88,56.878,43.056
2.08,-3.92,57.602,57.504,57.379,57.133,56.832,56.829,42.914
2.16,-3.92,57.563,57.464,57.337,57.087,56.785,56.782,42.769
2.24,-3.92,57.522,57.422,57.294,57.04,56.743,56.74,42.623
2.32,-3.92,57.48,57.377,57.247,56.989,56.67,56.669,42.474
2.4,-3.92,57.435,57.33,57.199,56.935,56.593,56.592,42.324
2.48,-3.92,57.387,57.281,57.147,56.878,56.526,56.524,42.173
2.56,-3.92,57.344,57.229,57.092,56.817,56.463,56.461,42.019
2.64,-3.92,57.355,57.173,57.033,56.751,56.395,56.393,41.865
2.72,-3.92,57.366,57.122,56.97,56.68,56.321,56.319,41.709
2.8,-3.92,57.379,57.111,56.903,56.605,56.243,56.241,41.552
2.88,-3.92,57.391,57.101,56.836,56.525,56.159,56.156,41.393
2.96,-3.92,57.401,57.09,56.798,56.441,56.069,56.067,41.234
3.04,-3.92,57.408,57.077,56.757,56.351,55.974,55.972,41.074
3.12,-3.92,57.41,57.06,56.714,56.257,55.873,55.871,40.913
3.2,-3.92,57.408,57.041,56.668,56.157,55.766,55.764,40.752
3.28,-3.92,57.4,57.017,56.62,56.056,55.655,55.653,40.59
3.36,-3.92,57.385,56.989,56.567,55.958,55.537,55.535,40.428
3.44,-3.92,57.362,56.954,56.51,55.853,55.411,55.409,40.265
3.52,-3.92,57.297,56.873,56.409,55.732,55.278,55.276,40.102
3.6,-3.92,57.187,56.766,56.3,55.612,55.141,55.139,39.938
3.68,-3.92,57.078,56.664,56.196,55.494,55.001,54.999,39.775
3.76,-3.92,56.965,56.554,56.081,55.366,54.857,54.854,39.611
3.84,-3.92,56.836,56.432,55.959,55.233,54.708,54.706,39.447
3.92,-3.92,56.703,56.306,55.833,55.098,54.557,54.555,39.284
4,-3.92,56.565,56.178,55.707,54.966,54.407,54.404,39.12
4.08,-3.92,56.426,56.056,55.589,54.84,54.255,54.252,38.957
4.16,-3.92,56.28,55.929,55.462,54.704,54.101,54.098,38.794
4.24,-3.92,56.13,55.79,55.328,54.565,53.945,53.942,38.631
4.32,-3.92,55.978,55.65,55.193,54.425,53.789,53.787,38.469
4.4,-3.92,55.825,55.508,55.058,54.29,53.636,53.634,38.307
4.48,-3.92,55.67,55.372,54.932,54.162,53.485,53.482,38.145
4.56,-3.92,55.511,55.237,54.8,54.025,53.33,53.327,37.984
4.64,-3.92,55.35,55.089,54.662,53.886,53.176,53.174,37.823
4.72,-3.92,55.188,54.94,54.523,53.747,53.025,53.022,37.663
4.8,-3.92,55.026,54.79,54.384,53.609,52.876,52.873,37.503
4.88,-3.92,54.863,54.64,54.249,53.479,52.735,52.732,37.344
4.96,-3.92,54.698,54.487,54.119,53.347,52.589,52.585,37.186
5.04,-3.92,54.533,54.333,53.978,53.209,52.441,52.438,37.028
5.12,-3.92,54.368,54.179,53.837,53.072,52.295,52.292,36.871
5.2,-3.92,54.201,54.022,53.694,52.934,52.149,52.146,36.714
5.28,-3.92,54.035,53.866,53.55,52.799,52.009,52.006,36.558
5.36,-3.92,53.87,53.711,53.419,52.672,51.876,51.872,36.403
5.44,-3.92,53.696,53.545,53.274,52.53,51.725,51.721,36.249
5.52,-3.92,53.521,53.378,53.121,52.383,51.573,51.569,36.095
5.6,-3.92,53.343,53.208,52.963,52.233,51.417,51.414,35.943
5.68,-3.92,53.165,53.037,52.806,52.083,51.263,51.26,35.79
5.76,-3.92,52.988,52.866,52.648,51.936,51.116,51.112,35.639
5.84,-3.92,52.811,52.696,52.497,51.797,50.972,50.969,35.489
5.92,-3.92,52.632,52.522,52.337,51.647,50.818,50.814,35.339
6,-3.92,52.453,52.348,52.174,51.495,50.663,50.66,35.19
-6,-3.84,46.992,47.138,47.296,47.583,47.904,47.907,46.909
-5.92,-3.84,47.122,47.269,47.428,47.718,48.041,48.044,46.917
-5.84,-3.84,47.252,47.401,47.561,47.853,48.178,48.181,46.925
-5.76,-3.84,47.383,47.533,47.694,47.989,48.316,48.319,46.932
-5.68,-3.84,47.515,47.666,47.828,48.126,48.455,48.458,46.939
-5.6,-3.84,47.648,47.8,47.963,48.263,48.594,48.597,46.946
-5.52,-3.84,47.782,47.935,48.099,48.401,48.734,48.737,46.952
-5.44,-3.84,47.917,48.071,48.236,48.54,48.875,48.878,46.959
-5.36,-3.84,48.054,48.209,48.375,48.68,49.016,49.019,46.966
-5.28,-3.84,48.192,48.347,48.514,48.821,49.159,49.162,46.974
-5.2,-3.84,48.331,48.487,48.654,48.963,49.302,49.305,46.983
-5.12,-3.84,48.471,48.628,48.796,49.107,49.447,49.45,46.992
-5.04,-3.84,48.612,48.77,48.938,49.251,49.592,49.595,47.003
-4.96,-3.84,48.754,48.913,49.082,49.397,49.739,49.742,47.014
-4.88,-3.84,48.898,49.057,49.227,49.543,49.886,49.889,47.027
-4.8,-3.84,49.043,49.202,49.373,49.69,50.034,50.037,47.041
-4.72,-3.84,49.189,49.349,49.52,49.839,50.184,50.186,47.056
-4.64,-3.84,49.336,49.497,49.668,49.988,50.334,50.336,47.072
-4.56,-3.84,49.484,49.645,49.817,50.139,50.484,50.487,47.09
-4.48,-3.84,49.634,49.795,49.966,50.29,50.636,50.639,47.12
-4.4,-3.84,49.784,49.945,50.117,50.441,50.788,50.791,47.149
-4.32,-3.84,49.935,50.097,50.269,50.594,50.941,50.944,47.176
-4.24,-3.84,50.087,50.25,50.422,50.748,51.095,51.098,47.201
-4.16,-3.84,50.24,50.403,50.575,50.902,51.249,51.252,47.228
-4.08,-3.84,50.394,50.557,50.729,51.056,51.404,51.407,47.283
-4,-3.84,50.549,50.711,50.883,51.212,51.56,51.563,47.339
-3.92,-3.84,50.704,50.867,51.038,51.368,51.716,51.718,47.395
-3.84,-3.84,50.86,51.023,51.194,51.524,51.872,51.875,47.45
-3.76,-3.84,51.017,51.179,51.35,51.681,52.029,52.031,47.505
-3.68,-3.84,51.174,51.336,51.507,51.838,52.185,52.188,47.56
-3.6,-3.84,51.331,51.493,51.664,51.995,52.342,52.345,47.613
-3.52,-3.84,51.489,51.651,51.821,52.153,52.499,52.502,47.665
-3.44,-3.84,51.647,51.809,51.979,52.31,52.656,52.659,47.726
-3.36,-3.84,51.806,51.967,52.137,52.468,52.813,52.816,47.789
-3.28,-3.84,51.964,52.126,52.295,52.625,52.97,52.973,47.851
-3.2,-3.84,52.123,52.284,52.452,52.782,53.127,53.13,47.911
-3.12,-3.84,52.282,52.442,52.61,52.939,53.283,53.286,47.968
-3.04,-3.84,52.44,52.6,52.767,53.096,53.439,53.442,48.024
-2.96,-3.84,52.599,52.757,52.924,53.252,53.594,53.597,48.057
-2.88,-3.84,52.757,52.915,53.08,53.407,53.748,53.751,48.043
-2.8,-3.84,52.914,53.071,53.236,53.562,53.902,53.905,48.001
-2.72,-3.84,53.072,53.227,53.391,53.716,54.054,54.057,47.956
-2.64,-3.84,53.228,53.383,53.545,53.869,54.206,54.209,47.906
-2.56,-3.84,53.384,53.538,53.699,54.02,54.356,54.359,47.853
-2.48,-3.84,53.54,53.692,53.851,54.171,54.505,54.508,47.796
-2.4,-3.84,53.694,53.845,54.002,54.32,54.652,54.655,47.735
-2.32,-3.84,53.847,53.996,54.152,54.468,54.798,54.801,47.671
-2.24,-3.84,53.999,54.146,54.301,54.614,54.942,54.945,47.602
-2.16,-3.84,54.15,54.295,54.448,54.758,55.084,55.087,47.531
-2.08,-3.84,54.3,54.442,54.593,54.9,55.225,55.227,47.456
-2,-3.84,54.448,54.588,54.737,55.041,55.362,55.365,47.377
-1.92,-3.84,54.594,54.732,54.879,55.179,55.498,55.501,47.296
-1.84,-3.84,54.74,54.875,55.019,55.315,55.631,55.634,47.212
-1.76,-3.84,54.883,55.016,55.157,55.449,55.762,55.764,47.126
-1.68,-3.84,55.025,55.155,55.293,55.58,55.889,55.892,47.037
-1.6,-3.84,55.165,55.292,55.427,55.709,56.014,56.017,46.947
-1.52,-3.84,55.304,55.426,55.559,55.835,56.136,56.139,46.856
-1.44,-3.84,55.44,55.559,55.688,55.959,56.255,56.258,46.765
-1.36,-3.84,55.575,55.69,55.815,56.079,56.371,56.374,46.673
-1.28,-3.84,55.709,55.819,55.94,56.197,56.484,56.486,46.582
-1.2,-3.84,55.84,55.946,56.063,56.312,56.593,56.595,46.494
-1.12,-3.84,55.97,56.072,56.183,56.425,56.699,56.701,46.408
-1.04,-3.84,56.098,56.194,56.301,56.534,56.802,56.804,46.325
-0.96,-3.84,56.224,56.315,56.416,56.64,56.901,56.903,46.248
-0.88,-3.84,56.349,56.434,56.53,56.744,56.996,56.999,46.177
-0.8,-3.84,56.471,56.551,56.641,56.844,57.089,57.091,46.113
-0.72,-3.84,56.593,56.666,56.75,56.942,57.178,57.18,46.057
-0.64,-3.84,56.713,56.78,56.857,57.038,57.263,57.265,46.011
-0.56,-3.84,56.832,56.892,56.963,57.131,57.346,57.348,45.974
-0.48,-3.84,56.949,57.002,57.066,57.221,57.425,57.427,45.948
-0.4,-3.84,57.065,57.111,57.168,57.309,57.501,57.503,45.933
-0.32,-3.84,57.178,57.218,57.267,57.394,57.574,57.576,45.927
-0.24,-3.84,57.291,57.323,57.365,57.477,57.644,57.646,45.929
-0.16,-3.84,57.402,57.426,57.461,57.558,57.712,57.713,45.938
-0.08,-3.84,57.511,57.528,57.556,57.637,57.777,57.778,45.949
0,-3.84,57.618,57.629,57.648,57.714,57.839,57.84,45.959
0.08,-3.84,57.527,57.522,57.526,57.561,57.68,57.681,45.997
0.16,-3.84,57.571,57.555,57.548,57.559,57.664,57.665,46.028
0.24,-3.84,57.63,57.605,57.588,57.577,57.666,57.667,46.209
0.32,-3.84,57.69,57.659,57.632,57.599,57.67,57.671,46.017
0.4,-3.84,57.749,57.71,57.673,57.622,57.674,57.675,45.824
0.48,-3.84,57.803,57.756,57.712,57.641,57.674,57.675,45.651
0.56,-3.84,57.85,57.798,57.745,57.655,57.668,57.668,45.451
0.64,-3.84,57.901,57.832,57.772,57.663,57.657,57.657,45.317
0.72,-3.84,57.95,57.875,57.797,57.667,57.64,57.64,45.219
0.8,-3.84,57.994,57.912,57.827,57.663,57.617,57.617,45.121
0.88,-3.84,58.033,57.944,57.851,57.666,57.59,57.59,45.02
0.96,-3.84,58.07,57.972,57.871,57.668,57.558,57.557,44.916
1.04,-3.84,58.103,58.001,57.889,57.667,57.53,57.529,44.808
1.12,-3.84,58.144,58.025,57.907,57.664,57.504,57.503,44.696
1.2,-3.84,58.182,58.058,57.922,57.659,57.476,57.474,44.581
1.28,-3.84,58.212,58.087,57.944,57.655,57.446,57.445,44.463
1.36,-3.84,58.177,58.113,57.964,57.65,57.417,57.415,44.342
1.44,-3.84,58.14,58.08,57.983,57.65,57.39,57.388,44.217
1.52,-3.84,58.128,58.039,57.963,57.655,57.364,57.362,44.089
1.6,-3.84,58.113,58.019,57.916,57.659,57.348,57.346,43.959
1.68,-3.84,58.095,57.999,57.883,57.663,57.332,57.329,43.825
1.76,-3.84,58.073,57.976,57.856,57.626,57.316,57.313,43.689
1.84,-3.84,58.046,57.948,57.826,57.585,57.287,57.284,43.55
1.92,-3.84,58.014,57.915,57.791,57.546,57.243,57.24,43.409
2,-3.84,57.98,57.88,57.754,57.505,57.198,57.195,43.265
2.08,-3.84,57.943,57.843,57.714,57.462,57.151,57.148,43.119
2.16,-3.84,57.905,57.804,57.674,57.417,57.106,57.103,42.971
2.24,-3.84,57.866,57.764,57.632,57.372,57.065,57.063,42.82
2.32,-3.84,57.825,57.72,57.587,57.322,56.993,56.991,42.668
2.4,-3.84,57.781,57.675,57.54,57.27,56.917,56.915,42.514
2.48,-3.84,57.734,57.626,57.488,57.213,56.852,56.85,42.359
2.56,-3.84,57.696,57.575,57.435,57.153,56.79,56.788,42.201
2.64,-3.84,57.709,57.52,57.378,57.089,56.723,56.721,42.043
2.72,-3.84,57.723,57.473,57.316,57.019,56.65,56.648,41.883
2.8,-3.84,57.737,57.465,57.25,56.945,56.573,56.571,41.722
2.88,-3.84,57.751,57.456,57.186,56.865,56.489,56.487,41.56
2.96,-3.84,57.763,57.447,57.149,56.782,56.401,56.399,41.397
3.04,-3.84,57.771,57.435,57.11,56.694,56.306,56.304,41.233
3.12,-3.84,57.775,57.42,57.068,56.599,56.206,56.203,41.069
3.2,-3.84,57.774,57.402,57.024,56.501,56.1,56.098,40.904
3.28,-3.84,57.766,57.379,56.976,56.401,55.988,55.986,40.738
3.36,-3.84,57.752,57.352,56.925,56.303,55.872,55.869,40.572
3.44,-3.84,57.729,57.318,56.869,56.198,55.746,55.743,40.406
3.52,-3.84,57.659,57.234,56.765,56.078,55.613,55.61,40.239
3.6,-3.84,57.548,57.126,56.657,55.959,55.476,55.474,40.072
