Runway ID,X (nmi),Y (nmi),Rot (deg),Utilization,App Utilization,Dep Utilization
0,0,0,0,0.157380732,0.127952676,0.182821451
1,1.7799,5.55E-17,180,0.338815687,0.324880771,0.350862499
2,-0.48506,-1.0795,359.99,0.110732736,0.098753717,0.121088665
3,1.0804,-1.0796,179.99,0.232493454,0.330193258,0.148031428
4,-0.11667,-0.15646,276.72,0.087448016,0.017651003,0.147787924
5,0.065925,-1.7055,96.723,0.073129375,0.100568575,0.049408034
