Longitude,Latitude
-97.0509,32.879
-97.0466,33.7117
-97.0466,33.7117
-97.0507,32.9216
-97.0507,32.9217
-97.0507,32.9217
-97.0507,32.9218
-97.0507,32.9218
-97.0507,32.9218
-97.0507,32.9219
-97.0507,32.9219
-97.0507,32.922
-97.0507,32.922
-97.0507,32.922
-97.0507,32.9221
-97.0507,32.9221
-97.0507,32.9222
-97.0507,32.9222
-97.0507,32.9222
-97.0507,32.9223
-97.0507,32.9223
-97.0507,32.9224
-97.0507,32.9224
-97.0507,32.9224
-97.0507,32.9225
-97.0507,32.9225
-97.0507,32.9225
-97.0507,32.9226
-97.0507,32.9226
-97.0507,32.9227
-97.0507,32.9227
-97.0507,32.9227
-97.0507,32.9228
-97.0507,32.9228
-97.0507,32.9229
-97.0507,32.9229
-97.0507,32.9229
-97.0507,32.923
-97.0507,32.923
-97.0507,32.9231
-97.0507,32.9231
-97.0507,32.9231
-97.0507,32.9232
-97.0507,32.9232
-97.0507,32.9232
-97.0507,32.9233
-97.0507,32.9233
-97.0507,32.9234
-97.0506,32.9234
-97.0506,32.9234
-97.0506,32.9235
-97.0506,32.9235
-97.0506,32.9236
-97.0506,32.9236
-97.0506,32.9236
-97.0506,32.9237
-97.0506,32.9237
-97.0506,32.9238
-97.0506,32.9238
-97.0506,32.9238
-97.0506,32.9239
-97.0506,32.9239
-97.0506,32.924
-97.0506,32.924
-97.0506,32.924
-97.0506,32.9241
-97.0506,32.9241
-97.0506,32.9241
-97.0506,32.9242
-97.0506,32.9242
-97.0506,32.9243
-97.0506,32.9243
-97.0506,32.9243
-97.0506,32.9244
-97.0506,32.9244
-97.0506,32.9245
-97.0506,32.9245
-97.0506,32.9245
-97.0506,32.9246
-97.0506,32.9246
-97.0506,32.9247
-97.0505,32.9247
-97.0505,32.9247
-97.0505,32.9248
-97.0505,32.9248
-97.0505,32.9248
-97.0505,32.9249
-97.0505,32.9249
-97.0505,32.925
-97.0505,32.925
-97.0505,32.925
-97.0505,32.9251
-97.0505,32.9251
-97.0505,32.9252
-97.0505,32.9252
-97.0505,32.9252
-97.0505,32.9253
-97.0505,32.9253
-97.0505,32.9254
-97.0505,32.9254
-97.0505,32.9254
-97.0505,32.9255
-97.0505,32.9255
-97.0505,32.9255
-97.0504,32.9256
-97.0504,32.9256
-97.0504,32.9257
-97.0504,32.9257
-97.0504,32.9257
-97.0504,32.9258
-97.0504,32.9258
-97.0504,32.9259
-97.0504,32.9259
-97.0504,32.9259
-97.0504,32.926
-97.0504,32.926
-97.0504,32.926
-97.0504,32.9261
-97.0504,32.9261
-97.0504,32.9262
-97.0504,32.9262
-97.0504,32.9262
-97.0504,32.9263
-97.0503,32.9263
-97.0503,32.9264
-97.0503,32.9264
-97.0503,32.9264
-97.0503,32.9265
-97.0503,32.9265
-97.0503,32.9266
-97.0503,32.9266
-97.0503,32.9266
-97.0503,32.9267
-97.0503,32.9267
-97.0503,32.9267
-97.0503,32.9268
-97.0503,32.9268
-97.0503,32.9269
-97.0503,32.9269
-97.0502,32.9269
-97.0502,32.927
-97.0502,32.927
-97.0502,32.9271
-97.0502,32.9271
-97.0502,32.9271
-97.0502,32.9272
-97.0502,32.9272
-97.0502,32.9272
-97.0502,32.9273
-97.0502,32.9273
-97.0502,32.9274
-97.0502,32.9274
-97.0502,32.9274
-97.0502,32.9275
-97.0501,32.9275
-97.0501,32.9276
-97.0501,32.9276
-97.0501,32.9276
-97.0501,32.9277
-97.0501,32.9277
-97.0501,32.9278
-97.0501,32.9278
-97.0501,32.9278
-97.0501,32.9279
-97.0501,32.9279
-97.0501,32.9279
-97.0501,32.928
-97.05,32.928
-97.05,32.9281
-97.05,32.9281
-97.05,32.9281
-97.05,32.9282
-97.05,32.9282
-97.05,32.9283
-97.05,32.9283
-97.05,32.9283
-97.05,32.9284
-97.05,32.9284
-97.05,32.9284
-97.05,32.9285
-97.0499,32.9285
-97.0499,32.9286
-97.0499,32.9286
-97.0499,32.9286
-97.0499,32.9287
-97.0499,32.9287
-97.0499,32.9288
-97.0499,32.9288
-97.0499,32.9288
-97.0499,32.9289
-97.0499,32.9289
-97.0498,32.9289
-97.0498,32.929
-97.0498,32.929
-97.0498,32.9291
-97.0498,32.9291
-97.0498,32.9291
-97.0498,32.9292
-97.0498,32.9292
-97.0498,32.9292
-97.0498,32.9293
-97.0498,32.9293
-97.0497,32.9294
-97.0497,32.9294
-97.0497,32.9294
-97.0497,32.9295
-97.0497,32.9295
-97.0497,32.9296
-97.0497,32.9296
-97.0497,32.9296
-97.0497,32.9297
-97.0497,32.9297
-97.0497,32.9297
-97.0496,32.9298
-97.0496,32.9298
-97.0496,32.9299
-97.0496,32.9299
-97.0496,32.9299
-97.0496,32.93
-97.0496,32.93
-97.0496,32.9301
-97.0496,32.9301
-97.0496,32.9301
-97.0495,32.9302
-97.0495,32.9302
-97.0495,32.9302
-97.0495,32.9303
-97.0495,32.9303
-97.0495,32.9304
-97.0495,32.9304
-97.0495,32.9304
-97.0495,32.9305
-97.0494,32.9305
-97.0494,32.9305
-97.0494,32.9306
-97.0494,32.9306
-97.0494,32.9307
-97.0494,32.9307
-97.0494,32.9307
-97.0494,32.9308
-97.0494,32.9308
-97.0494,32.9308
-97.0493,32.9309
-97.0493,32.9309
-97.0493,32.931
-97.0493,32.931
-97.0493,32.931
-97.0493,32.9311
-97.0493,32.9311
-97.0493,32.9312
-97.0492,32.9312
-97.0492,32.9312
-97.0492,32.9313
-97.0492,32.9313
-97.0492,32.9313
-97.0492,32.9314
-97.0492,32.9314
-97.0492,32.9315
-97.0492,32.9315
-97.0491,32.9315
-97.0491,32.9316
-97.0491,32.9316
-97.0491,32.9316
-97.0491,32.9317
-97.0491,32.9317
-97.0491,32.9318
-97.0491,32.9318
-97.049,32.9318
-97.049,32.9319
-97.049,32.9319
-97.049,32.9319
-97.049,32.932
-97.049,32.932
-97.049,32.9321
-97.049,32.9321
-97.0489,32.9321
-97.0489,32.9322
-97.0489,32.9322
-97.0489,32.9322
-97.0489,32.9323
-97.0489,32.9323
-97.0489,32.9324
-97.0489,32.9324
-97.0488,32.9324
-97.0488,32.9325
-97.0488,32.9325
-97.0488,32.9325
-97.0488,32.9326
-97.0488,32.9326
-97.0488,32.9327
-97.0488,32.9327
-97.0487,32.9327
-97.0487,32.9328
-97.0487,32.9328
-97.0487,32.9328
-97.0487,32.9329
-97.0487,32.9329
-97.0487,32.933
-97.0486,32.933
-97.0486,32.933
-97.0486,32.9331
-97.0486,32.9331
-97.0486,32.9331
-96.755,33.7286
