Longitude,Latitude
-94.720776,39.322237
-94.72930434,39.29337307
-94.72930434,39.29337307
-94.72930873,39.29335819
-94.7293131,39.29334331
-94.72931746,39.29332843
-94.7293218,39.29331354
-94.72932613,39.29329866
-94.72933043,39.29328376
-94.72933473,39.29326887
-94.72933901,39.29325397
-94.72934327,39.29323908
-94.72934752,39.29322417
-94.72935175,39.29320927
-94.72935597,39.29319436
-94.72936017,39.29317945
-94.72936435,39.29316454
-94.72936852,39.29314962
-94.72937268,39.29313471
-94.72937682,39.29311979
-94.72938094,39.29310486
-94.72938505,39.29308994
-94.72938914,39.29307501
-94.72939322,39.29306008
-94.72939728,39.29304515
-94.72940132,39.29303021
-94.72940535,39.29301527
-94.72940936,39.29300033
-94.72941336,39.29298539
-94.72941735,39.29297044
-94.72942131,39.2929555
-94.72942526,39.29294055
-94.7294292,39.29292559
-94.72943312,39.29291064
-94.72943702,39.29289568
-94.72944091,39.29288072
-94.72944479,39.29286576
-94.72944864,39.29285079
-94.72945249,39.29283582
-94.72945631,39.29282085
-94.72946012,39.29280588
-94.72946392,39.29279091
-94.7294677,39.29277593
-94.72947146,39.29276095
-94.72947521,39.29274597
-94.72947894,39.29273098
-94.72948266,39.292716
-94.72948636,39.29270101
-94.72949005,39.29268602
-94.72949372,39.29267102
-94.72949737,39.29265603
-94.72950101,39.29264103
-94.72950463,39.29262603
-94.72950824,39.29261103
-94.72951183,39.29259602
-94.72951541,39.29258102
-94.72951897,39.29256601
-94.72952251,39.29255099
-94.72952604,39.29253598
-94.72952955,39.29252097
-94.72953305,39.29250595
-94.72953653,39.29249093
-94.72954,39.2924759
-94.72954345,39.29246088
-94.72954688,39.29244585
-94.7295503,39.29243082
-94.72955371,39.29241579
-94.72955709,39.29240076
-94.72956047,39.29238572
-94.72956382,39.29237069
-94.72956716,39.29235565
-94.72957049,39.29234061
-94.7295738,39.29232556
-94.72957709,39.29231052
-94.72958037,39.29229547
-94.72958363,39.29228042
-94.72958688,39.29226537
-94.72959011,39.29225031
-94.72959332,39.29223526
-94.72959652,39.2922202
-94.7295997,39.29220514
-94.72960287,39.29219008
-94.72960602,39.29217501
-94.72960916,39.29215995
-94.72961228,39.29214488
-94.72961538,39.29212981
-94.72961847,39.29211474
-94.72962155,39.29209967
-94.7296246,39.29208459
-94.72962764,39.29206951
-94.72963067,39.29205443
-94.72963368,39.29203935
-94.72963667,39.29202427
-94.72963965,39.29200919
-94.72964262,39.2919941
-94.72964556,39.29197901
-94.72964849,39.29196392
-94.72965141,39.29194883
-94.72965431,39.29193373
-94.72965719,39.29191864
-94.72966006,39.29190354
-94.72966291,39.29188844
-94.72966575,39.29187334
-94.72966857,39.29185824
-94.72967138,39.29184313
-94.72967417,39.29182802
-94.72967694,39.29181292
-94.7296797,39.29179781
-94.72968244,39.2917827
-94.72968517,39.29176758
-94.72968788,39.29175247
-94.72969057,39.29173735
-94.72969325,39.29172223
-94.72969591,39.29170711
-94.72969856,39.29169199
-94.72970119,39.29167687
-94.72970381,39.29166174
-94.72970641,39.29164661
-94.72970899,39.29163149
-94.72971156,39.29161636
-94.72971411,39.29160122
-94.72971665,39.29158609
-94.72971917,39.29157096
-94.72972168,39.29155582
-94.72972416,39.29154068
-94.72972664,39.29152554
-94.7297291,39.2915104
-94.72973154,39.29149526
-94.72973396,39.29148012
-94.72973637,39.29146497
-94.72973877,39.29144982
-94.72974115,39.29143467
-94.72974351,39.29141952
-94.72974586,39.29140437
-94.72974819,39.29138922
-94.7297505,39.29137407
-94.7297528,39.29135891
-94.72975509,39.29134375
-94.72975735,39.29132859
-94.7297596,39.29131343
-94.72976184,39.29129827
-94.72976406,39.29128311
-94.72976627,39.29126794
-94.72976845,39.29125278
-94.72977063,39.29123761
-94.72977278,39.29122244
-94.72977492,39.29120727
-94.72977705,39.2911921
-94.72977916,39.29117693
-94.72978125,39.29116176
-94.72978333,39.29114658
-94.72978539,39.29113141
-94.72978744,39.29111623
-94.72978947,39.29110105
-94.72979148,39.29108587
-94.72979348,39.29107069
-94.72979546,39.29105551
-94.72979743,39.29104032
-94.72979938,39.29102514
-94.72980131,39.29100995
-94.72980323,39.29099476
-94.72980514,39.29097957
-94.72980702,39.29096438
-94.7298089,39.29094919
-94.72981075,39.290934
-94.72981259,39.29091881
-94.72981441,39.29090361
-94.72981622,39.29088842
-94.72981801,39.29087322
-94.72981979,39.29085802
-94.72982155,39.29084282
-94.7298233,39.29082762
-94.72982502,39.29081242
-94.72982674,39.29079722
-94.72982843,39.29078202
-94.72983011,39.29076681
-94.72983178,39.29075161
-94.72983343,39.2907364
-94.72983506,39.29072119
-94.72983668,39.29070599
-94.72983828,39.29069078
-94.72983987,39.29067557
-94.72984144,39.29066035
-94.72984299,39.29064514
-94.72984453,39.29062993
-94.72984605,39.29061471
-94.72984756,39.2905995
-94.72984905,39.29058428
-94.72985052,39.29056907
-94.72985198,39.29055385
-94.72985342,39.29053863
-94.72985485,39.29052341
-94.72985626,39.29050819
-94.72985765,39.29049297
-94.72985903,39.29047774
-94.7298604,39.29046252
-94.72986174,39.2904473
-94.72986307,39.29043207
