Longitude,Latitude
-94.693221,39.288078
-94.86908552,39.30412313
-94.86908552,39.30412313
-94.86908859,39.30412341
-94.86909166,39.30412369
-94.86909473,39.30412397
-94.8690978,39.30412425
-94.86910087,39.30412453
-94.86910394,39.3041248
-94.86910701,39.30412508
-94.86911008,39.30412536
-94.86911315,39.30412563
-94.86911622,39.30412591
-94.86911929,39.30412619
-94.86912236,39.30412646
-94.86912543,39.30412674
-94.8691285,39.30412701
-94.86913157,39.30412729
-94.86913464,39.30412756
-94.86913771,39.30412783
-94.86914078,39.3041281
-94.86914385,39.30412838
-94.86914692,39.30412865
-94.86914999,39.30412892
-94.86915306,39.30412919
-94.86915613,39.30412946
-94.8691592,39.30412973
-94.86916227,39.30413
-94.86916535,39.30413027
-94.86916842,39.30413054
-94.86917149,39.30413081
-94.86917456,39.30413108
-94.86917763,39.30413135
-94.8691807,39.30413161
-94.86918377,39.30413188
-94.86918684,39.30413215
-94.86918992,39.30413241
-94.86919299,39.30413268
-94.86919606,39.30413294
-94.86919913,39.30413321
-94.8692022,39.30413347
-94.86920527,39.30413374
-94.86920835,39.304134
-94.86921142,39.30413426
-94.86921449,39.30413453
-94.86921756,39.30413479
-94.86922063,39.30413505
-94.86922371,39.30413531
-94.86922678,39.30413557
-94.86922985,39.30413584
-94.86923292,39.3041361
-94.869236,39.30413636
-94.86923907,39.30413661
-94.86924214,39.30413687
-94.86924521,39.30413713
-94.86924829,39.30413739
-94.86925136,39.30413765
-94.86925443,39.30413791
-94.8692575,39.30413816
-94.86926058,39.30413842
-94.86926365,39.30413868
-94.86926672,39.30413893
-94.8692698,39.30413919
-94.86927287,39.30413944
-94.86927594,39.3041397
-94.86927901,39.30413995
-94.86928209,39.3041402
-94.86928516,39.30414046
-94.86928823,39.30414071
-94.86929131,39.30414096
-94.86929438,39.30414121
-94.86929745,39.30414147
-94.86930053,39.30414172
-94.8693036,39.30414197
-94.86930668,39.30414222
-94.86930975,39.30414247
-94.86931282,39.30414272
-94.8693159,39.30414297
-94.86931897,39.30414322
-94.86932205,39.30414346
-94.86932512,39.30414371
-94.86932819,39.30414396
-94.86933127,39.30414421
-94.86933434,39.30414445
-94.86933742,39.3041447
-94.86934049,39.30414495
-94.86934356,39.30414519
-94.86934664,39.30414544
-94.86934971,39.30414568
-94.86935279,39.30414592
-94.86935586,39.30414617
-94.86935894,39.30414641
-94.86936201,39.30414665
-94.86936509,39.3041469
-94.86936816,39.30414714
-94.86937124,39.30414738
-94.86937431,39.30414762
-94.86937739,39.30414786
-94.86938046,39.3041481
-94.86938354,39.30414834
-94.86938661,39.30414858
-94.86938969,39.30414882
-94.86939276,39.30414906
-94.86939584,39.3041493
-94.86939891,39.30414954
